'Atmospheric species in mixing ratio (by mol, i.e. by volume for ideal gases), aqueous species in mol/(kg H2O), total C and N in mol'
'Time (Myr)' 	 CO2(g) 	 CH4(g) 	 O2(g) 	 N2(g) 	 H2O(g) 	 'P_surface (bar)' 	 'T_surface (K)' 	 'DeltaT GHE (K)' 	 'Ox C(aq)' 	 'Red C(aq)' 	 'Total N(aq)' 	 'Ocean pH' 	 'Ocean log f(O2) at Tsurf0' 	 'Rain pH' 	 'Total C g+aq' 	 'Total N g+aq' 	 'Mocean (kg)' 	 'nAir (mol)'
Init 	 0.5 	 0 	 0 	 0.5 	 0 	 1 	 300 	 0 	 3.0442 	 0 	 0.0168142 	 8.43928 	 -30.137 	 0 	 4.33014e+21 	 1.60065e+20 	 1.4e+21 	 1.36525e+20
0 	 0.145601 	 0.844327 	 0 	 0.00725336 	 0.00281958 	 29.7588 	 319.245 	 64.3402 	 0.19954 	 0.0254198 	 0.0737121 	 6.19023 	 -29.2662 	 0 	 4.33015e+21 	 1.60053e+20 	 1.37183e+21 	 4.06247e+21
0.001 	 0.162558 	 0.816444 	 0 	 0.0126792 	 0.0083189 	 30.678 	 342.833 	 87.9288 	 0.146238 	 0.0213482 	 0.0392233 	 6.15023 	 -29.7577 	 0 	 4.32978e+21 	 1.60048e+20 	 1.3731e+21 	 4.1876e+21
0.002 	 0.152642 	 0.813332 	 0 	 0.0154454 	 0.0185801 	 31.4592 	 363.227 	 108.322 	 0.111185 	 0.0208148 	 0.0199579 	 6.19433 	 -30.1547 	 0 	 4.32925e+21 	 1.60039e+20 	 1.37222e+21 	 4.29423e+21
0.003 	 0.142642 	 0.806168 	 0 	 0.0165244 	 0.034666 	 32.2132 	 381.259 	 126.355 	 0.0924295 	 0.0215377 	 0.0107293 	 6.26615 	 -30.4631 	 0 	 4.32831e+21 	 1.60029e+20 	 1.37082e+21 	 4.39717e+21
0.004 	 0.133028 	 0.793199 	 0 	 0.0167555 	 0.057017 	 33.0844 	 397.5 	 142.596 	 0.0817152 	 0.0230256 	 0.0063402 	 6.35474 	 -30.7107 	 0 	 4.32628e+21 	 1.60017e+20 	 1.36888e+21 	 4.51607e+21
0.005 	 0.123559 	 0.774819 	 0 	 0.0165514 	 0.0850708 	 34.1269 	 412.153 	 157.248 	 0.0750897 	 0.0250558 	 0.00424378 	 6.45185 	 -30.9128 	 0 	 4.32183e+21 	 1.60004e+20 	 1.36641e+21 	 4.65838e+21
0.006 	 0.113646 	 0.752919 	 0 	 0.0161273 	 0.117307 	 35.3267 	 425.267 	 170.362 	 0.0704697 	 0.0274821 	 0.00326663 	 6.552 	 -31.0803 	 0 	 4.31226e+21 	 1.5999e+20 	 1.36344e+21 	 4.82214e+21
0.007 	 0.102617 	 0.730131 	 0 	 0.0156184 	 0.151634 	 36.6098 	 436.825 	 181.92 	 0.066571 	 0.0301659 	 0.00285096 	 6.65262 	 -31.2219 	 0 	 4.29306e+21 	 1.59977e+20 	 1.36011e+21 	 4.9973e+21
0.008 	 0.0897524 	 0.709245 	 0 	 0.0151236 	 0.185879 	 37.8511 	 446.774 	 191.87 	 0.0624295 	 0.0329474 	 0.0027164 	 6.75769 	 -31.3458 	 0 	 4.25761e+21 	 1.59964e+20 	 1.35664e+21 	 5.16674e+21
