'Reservoirs in mol, fluxes in mol s-1'
'Time (Myr)' 	 'Tmantle (K)' 	 RCmantle 	 RCatmoc 	 RCocean 	 FCoutgas 	 FCcontw 	 FCseafsubd 	 'Net C flux'
Init 	 6029.78 	 9.49803e+21 	 9.49803e+20 	 8.73929e+20 	 0 	 0 	 0 	 0 
0 	 3262.84 	 2.34758e+14 	 9.62919e+14 	 14637.6 	 0.849515 	 9436.21 	 0 	 42.0888
0.01 	 3203.68 	 1.65383e+10 	 8.04017e+18 	 957.205 	 12.7324 	 388.92 	 0 	 0.353061
0.02 	 3174.13 	 3.02742e+09 	 4.28025e+19 	 618.221 	 19.5141 	 220.763 	 0 	 0.151365
0.03 	 3147.94 	 2.34776e+09 	 5.46342e+19 	 587.119 	 20.3614 	 202.798 	 0 	 0.133295
0.04 	 3124.21 	 1.91709e+09 	 6.62426e+19 	 558.99 	 21.2085 	 189.547 	 0 	 0.120486
0.05 	 3102.58 	 1.59306e+09 	 7.9055e+19 	 513.694 	 22.9026 	 178.155 	 0 	 0.109832
0.06 	 3082.75 	 1.34244e+09 	 9.30982e+19 	 491.886 	 23.7495 	 168.253 	 0 	 0.100823
0.07 	 3064.55 	 1.13587e+09 	 1.09168e+20 	 471.859 	 24.5963 	 159.134 	 0 	 0.0927695
0.08 	 3047.72 	 9.79791e+08 	 1.25735e+20 	 453.391 	 25.443 	 151.464 	 0 	 0.0861603
0.09 	 3032.08 	 8.52659e+08 	 1.43481e+20 	 436.305 	 26.2896 	 144.603 	 0 	 0.0803997
0.1 	 3017.52 	 7.49026e+08 	 1.62408e+20 	 420.451 	 27.1361 	 138.472 	 0 	 0.0753555
0.11 	 3003.92 	 6.6308e+08 	 1.82485e+20 	 405.701 	 27.9825 	 132.942 	 0 	 0.0709005
0.12 	 2991.22 	 5.86188e+08 	 2.05233e+20 	 391.95 	 28.8288 	 127.587 	 0 	 0.0666824
0.13 	 2985.4 	 3.96626e+08 	 2.27652e+20 	 350.016 	 32.2131 	 111.951 	 0 	 0.0548509
0.14 	 2979.79 	 3.75192e+08 	 2.40206e+20 	 349.288 	 32.2131 	 109.909 	 0 	 0.0533637
0.15 	 2974.36 	 3.57791e+08 	 2.51583e+20 	 339.665 	 33.059 	 108.168 	 0 	 0.0521115
0.16 	 2969.15 	 3.38391e+08 	 2.6515e+20 	 339.006 	 33.059 	 106.188 	 0 	 0.0506938
0.17 	 2964.1 	 3.23666e+08 	 2.76896e+20 	 329.928 	 33.9047 	 104.611 	 0 	 0.0495786
0.18 	 2959.22 	 3.09641e+08 	 2.88777e+20 	 329.326 	 33.9047 	 103.078 	 0 	 0.0484925
0.19 	 2954.51 	 2.96625e+08 	 3.00786e+20 	 320.745 	 34.7504 	 101.6 	 0 	 0.0474624
0.2 	 2949.94 	 2.84517e+08 	 3.12913e+20 	 320.196 	 34.7504 	 100.198 	 0 	 0.0464836
0.21 	 2945.52 	 2.73242e+08 	 3.25152e+20 	 319.664 	 34.7504 	 98.8565 	 0 	 0.0455533
0.22 	 2941.24 	 2.62487e+08 	 3.37499e+20 	 311.568 	 35.5959 	 97.5398 	 0 	 0.0446607
0.23 	 2937.06 	 2.52924e+08 	 3.49956e+20 	 311.078 	 35.5959 	 96.3405 	 0 	 0.0438396
0.24 	 2933.01 	 2.43668e+08 	 3.62558e+20 	 303.396 	 36.4414 	 95.1381 	 0 	 0.0430299
0.25 	 2929.08 	 2.34982e+08 	 3.75264e+20 	 302.945 	 36.4414 	 93.9939 	 0 	 0.042256
0.26 	 2925.26 	 2.26823e+08 	 3.88062e+20 	 302.506 	 36.4414 	 92.8932 	 0 	 0.041516
