Time (Gyr) 	 Pressure (bar) 	 Depth (km) 	 Melt fraction 	 Temp (K) 	 Density (kg m-3)
0.6002 	 39963.2 	 88.8135 	 0 	 1510.09 	 4352.58
0.6002 	 39595.5 	 88.0126 	 0 	 1509.79 	 4351.33
0.6002 	 39227.8 	 87.2114 	 0 	 1509.5 	 4350.07
0.6002 	 38860.2 	 86.4101 	 0 	 1509.2 	 4348.8
0.6002 	 38492.6 	 85.6086 	 0 	 1508.91 	 4347.53
0.6002 	 38124.9 	 84.8069 	 0 	 1508.61 	 4346.26
0.6002 	 37757.3 	 84.005 	 0 	 1508.32 	 4344.98
0.6002 	 37389.8 	 83.203 	 0 	 1508.02 	 4343.69
0.6002 	 37022.2 	 82.4007 	 0 	 1507.73 	 4342.4
0.6002 	 36654.6 	 81.5982 	 0 	 1507.43 	 4341.1
0.6002 	 36287.1 	 80.7956 	 0 	 1507.14 	 4339.79
0.6002 	 35919.6 	 79.9928 	 0 	 1506.84 	 4338.48
0.6002 	 35552.1 	 79.1897 	 0 	 1506.54 	 4337.17
0.6002 	 35184.6 	 78.3865 	 0 	 1506.25 	 4335.84
0.6002 	 34817.2 	 77.5831 	 0 	 1505.95 	 4334.52
0.6002 	 34449.7 	 76.7795 	 0 	 1505.66 	 4333.18
0.6002 	 34082.3 	 75.9757 	 0 	 1505.36 	 4331.84
0.6002 	 33714.9 	 75.1717 	 0 	 1505.07 	 4330.49
0.6002 	 33347.6 	 74.3675 	 0 	 1504.77 	 4329.14
0.6002 	 32980.2 	 73.563 	 0 	 1504.48 	 4327.77
0.6002 	 32612.8 	 72.7584 	 0 	 1504.18 	 4326.41
0.6002 	 32245.5 	 71.9536 	 0 	 1503.88 	 4325.03
0.6002 	 31878.2 	 71.1486 	 0 	 1503.59 	 4323.65
0.6002 	 31510.9 	 70.3433 	 0 	 1503.29 	 4322.26
0.6002 	 31143.7 	 69.5379 	 0 	 1503 	 4320.86
0.6002 	 30776.4 	 68.7322 	 0 	 1502.7 	 4319.46
0.6002 	 30409.2 	 67.9263 	 0 	 1502.4 	 4318.04
0.6002 	 30042 	 67.1203 	 0 	 1502.11 	 4316.62
0.6002 	 29674.8 	 66.314 	 0 	 1501.81 	 4315.2
0.6002 	 29307.6 	 65.5074 	 0 	 1501.52 	 4313.76
0.6002 	 28940.4 	 64.7007 	 0 	 1501.22 	 4312.32
0.6002 	 28573.3 	 63.8937 	 0 	 1500.93 	 4310.87
