Time (Gyr) 	 Tmantle (K) 	 Ra 	 Visc (Pa s) 	 Heat flux (mW m-2) 	 Lithospheric thickness (km) 	 Frank-Kamenetskii parameter 	 Outgassing flux (mol C s-1) 	 Convective velocity (m yr-1) 	 Convective timescale (s) 	 Crustal thickness (m) 	 Crust generation timescale (s) 	 Stagnant lid?
0.6002 	 1503.22 	 1.68637e+09 	 4.17919e+19 	 188.095 	 27.6634 	 25.6424 	 1.69756e+07 	 0.101812 	 8.53858e+14 	 533.251 	 6.31152e+12 	 0
0.6004 	 1503.2 	 1.66995e+09 	 4.22022e+19 	 187.479 	 27.7538 	 25.6426 	 1.66912e+07 	 0.101315 	 8.58046e+14 	 1057.66 	 1.27294e+13 	 0
0.6006 	 1503.18 	 1.66499e+09 	 4.23272e+19 	 187.291 	 27.7813 	 25.6428 	 1.66075e+07 	 0.101165 	 8.59322e+14 	 1579.53 	 1.91029e+13 	 0
0.6008 	 1503.17 	 1.66326e+09 	 4.23708e+19 	 187.223 	 27.791 	 25.643 	 1.65806e+07 	 0.101112 	 8.5977e+14 	 2100.64 	 2.54423e+13 	 0
0.601 	 1503.15 	 1.66243e+09 	 4.23913e+19 	 187.189 	 27.7956 	 25.6433 	 1.65679e+07 	 0.101087 	 8.59985e+14 	 2621.44 	 3.1769e+13 	 0
0.611 	 1502.23 	 1.6618e+09 	 4.24054e+19 	 187.022 	 27.7991 	 25.6427 	 1.65611e+07 	 0.101068 	 8.60147e+14 	 28655.2 	 3.47353e+14 	 0
0.621 	 1501.29 	 1.64376e+09 	 4.28376e+19 	 186.196 	 27.9004 	 25.6542 	 1.63847e+07 	 0.100518 	 8.64853e+14 	 54630.7 	 6.63708e+14 	 0
0.631 	 1500.36 	 1.62066e+09 	 4.3414e+19 	 185.173 	 28.0324 	 25.6661 	 1.61232e+07 	 0.0998088 	 8.70997e+14 	 80409.5 	 9.84348e+14 	 0
0.641 	 1499.44 	 1.59655e+09 	 4.40349e+19 	 184.107 	 28.1728 	 25.6778 	 1.58427e+07 	 0.0990636 	 8.77549e+14 	 105955 	 1.30892e+15 	 0
0.651 	 1498.55 	 1.54612e+09 	 4.54353e+19 	 182.011 	 28.4758 	 25.6894 	 1.54307e+07 	 0.0974864 	 8.91746e+14 	 131046 	 1.64818e+15 	 0
0.661 	 1497.68 	 1.51616e+09 	 4.62984e+19 	 180.694 	 28.6622 	 25.7005 	 1.50367e+07 	 0.0965373 	 9.00514e+14 	 155701 	 1.99295e+15 	 0
0.671 	 1496.82 	 1.49243e+09 	 4.69996e+19 	 179.615 	 28.8133 	 25.7114 	 1.47474e+07 	 0.095779 	 9.07643e+14 	 180080 	 2.33106e+15 	 0
0.681 	 1495.96 	 1.47085e+09 	 4.76544e+19 	 178.616 	 28.9535 	 25.7222 	 1.44926e+07 	 0.095084 	 9.14277e+14 	 204233 	 2.66841e+15 	 0
0.691 	 1495.14 	 1.42716e+09 	 4.90771e+19 	 176.705 	 29.246 	 25.7328 	 1.41385e+07 	 0.093661 	 9.28168e+14 	 227988 	 3.02879e+15 	 0
0.701 	 1494.33 	 1.4013e+09 	 4.99478e+19 	 175.51 	 29.4248 	 25.7431 	 1.38021e+07 	 0.0928086 	 9.36692e+14 	 251363 	 3.3935e+15 	 0
0.711 	 1493.53 	 1.38092e+09 	 5.06499e+19 	 174.536 	 29.5688 	 25.7532 	 1.35558e+07 	 0.0921313 	 9.43579e+14 	 274503 	 3.74362e+15 	 0
0.721 	 1492.74 	 1.3624e+09 	 5.13032e+19 	 173.634 	 29.7022 	 25.7631 	 1.33393e+07 	 0.0915115 	 9.4997e+14 	 297453 	 4.09024e+15 	 0
0.731 	 1491.97 	 1.32447e+09 	 5.27359e+19 	 171.894 	 29.9831 	 25.773 	 1.30366e+07 	 0.0902286 	 9.63476e+14 	 320057 	 4.46827e+15 	 0
0.741 	 1491.22 	 1.30198e+09 	 5.36117e+19 	 170.805 	 30.1548 	 25.7826 	 1.27472e+07 	 0.0894591 	 9.71764e+14 	 342331 	 4.85016e+15 	 0
0.751 	 1490.46 	 1.28427e+09 	 5.43155e+19 	 169.917 	 30.2927 	 25.7919 	 1.25349e+07 	 0.0888487 	 9.7844e+14 	 364401 	 5.2104e+15 	 0
0.761 	 1489.72 	 1.26818e+09 	 5.49691e+19 	 169.096 	 30.4203 	 25.8012 	 1.23491e+07 	 0.0882904 	 9.84627e+14 	 386310 	 5.5644e+15 	 0
0.771 	 1488.97 	 1.25275e+09 	 5.56104e+19 	 168.299 	 30.5447 	 25.8105 	 1.21728e+07 	 0.0877516 	 9.90673e+14 	 408070 	 5.918e+15 	 0
0.781 	 1488.26 	 1.22019e+09 	 5.70572e+19 	 166.724 	 30.814 	 25.8197 	 1.19172e+07 	 0.0866036 	 1.0038e+15 	 429535 	 6.31516e+15 	 0
