'Reservoirs in mol, fluxes in mol s-1'
'Time (Myr)' 	 'Tmantle (K)' 	 RCmantle 	 RCatm 	 RCocean 	 RCatm+RCoc 	 RCatmoc 	 FCoutgas 	 FCcontw 	 FCseafsubd 	 'Net C flux'
Init 	 6029.78 	 6.75e+22 	 5.32829e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 0 	 0 
0 	 3262.84 	 6.75e+22 	 5.32789e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.01 	 3203.68 	 6.75e+22 	 5.32805e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.02 	 3174.18 	 6.75e+22 	 5.32807e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.03 	 3147.99 	 6.75e+22 	 5.32807e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.04 	 3124.25 	 6.75e+22 	 5.32809e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.05 	 3102.62 	 6.75e+22 	 5.32808e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.06 	 3082.79 	 6.75e+22 	 5.32808e+16 	 3.96684e+18 	 4.02012e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.07 	 3064.58 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.08 	 3047.75 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.09 	 3032.11 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.1 	 3017.55 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02014e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.11 	 3003.94 	 6.75e+22 	 5.32809e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.12 	 2991.24 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.13 	 2985.42 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.14 	 2979.81 	 6.75e+22 	 5.32809e+16 	 3.96685e+18 	 4.02014e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.15 	 2974.38 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.16 	 2969.17 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.17 	 2964.12 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.18 	 2959.24 	 6.75e+22 	 5.32807e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.19 	 2954.52 	 6.75e+22 	 5.3281e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.2 	 2949.96 	 6.75e+22 	 5.32809e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.21 	 2945.54 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.22 	 2941.25 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.23 	 2937.08 	 6.75e+22 	 5.32808e+16 	 3.96685e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
0.24 	 2933.03 	 6.75e+22 	 5.32808e+16 	 3.96684e+18 	 4.02013e+18 	 4.02012e+18 	 0 	 0 	 -0 	 0
