Title: Primitive mantle composition from McDonough & Sun (1995),

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
39887.50 1637.67 99.939186 45.0274 0.201122 4.45271 0.141691 0.384234 7.9274 37.823 3.55216 0.360219 0.0290176 0.0210128 0.0800487
39593.00 1637.36 99.939278 45.0273 0.201122 4.4527 0.142606 0.384233 7.92657 37.823 3.55216 0.360219 0.0290176 0.0210128 0.0800486
39298.60 1637.06 99.939372 45.0273 0.201122 4.4527 0.14354 0.384233 7.92573 37.8229 3.55215 0.360218 0.0290176 0.0210127 0.0800485
39004.20 1636.75 99.939467 45.0273 0.201122 4.4527 0.14449 0.384233 7.92486 37.8229 3.55215 0.360218 0.0290176 0.0210127 0.0800485
38709.80 1636.45 99.939564 45.0272 0.201122 4.45269 0.14546 0.384232 7.92398 37.8229 3.55215 0.360218 0.0290175 0.0210127 0.0800484
38415.40 1636.15 99.939663 45.0272 0.201121 4.45269 0.14645 0.384232 7.92308 37.8228 3.55214 0.360217 0.0290175 0.0210127 0.0800483
38121.10 1635.84 99.939764 45.0271 0.201121 4.45268 0.147456 0.384231 7.92217 37.8228 3.55214 0.360217 0.0290175 0.0210127 0.0800482
37826.80 1635.54 99.939867 45.0271 0.201121 4.45268 0.148485 0.384231 7.92124 37.8227 3.55214 0.360217 0.0290174 0.0210126 0.0800481
37532.40 1635.23 99.939972 45.027 0.201121 4.45267 0.149533 0.384231 7.92028 37.8227 3.55213 0.360216 0.0290174 0.0210126 0.080048
37238.10 1634.93 99.940079 45.027 0.201121 4.45267 0.150602 0.38423 7.91931 37.8227 3.55213 0.360216 0.0290174 0.0210126 0.080048
36943.90 1634.62 99.940188 45.0269 0.20112 4.45266 0.151692 0.38423 7.91832 37.8226 3.55212 0.360215 0.0290174 0.0210126 0.0800479
36649.60 1634.32 99.940300 45.0269 0.20112 4.45266 0.152806 0.384229 7.91731 37.8226 3.55212 0.360215 0.0290173 0.0210125 0.0800478
36355.30 1634.01 99.940413 45.0268 0.20112 4.45265 0.153941 0.384229 7.91628 37.8225 3.55212 0.360215 0.0290173 0.0210125 0.0800477
36061.10 1633.71 99.940529 45.0268 0.20112 4.45265 0.155101 0.384229 7.91523 37.8225 3.55211 0.360214 0.0290173 0.0210125 0.0800476
35766.90 1633.41 99.940648 45.0267 0.201119 4.45264 0.156285 0.384228 7.91415 37.8224 3.55211 0.360214 0.0290172 0.0210125 0.0800475
35472.70 1633.10 99.940769 45.0267 0.201119 4.45264 0.157493 0.384228 7.91306 37.8224 3.5521 0.360213 0.0290172 0.0210124 0.0800474
