Title: Allan et al. 1989 (see Ghiorso 1997)

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
14000.00 1850.00 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
15000.00 1853.23 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
16000.00 1856.46 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
17000.00 1859.72 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
18000.00 1862.98 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
19000.00 1866.25 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
20000.00 1869.54 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
21000.00 1872.85 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
22000.00 1876.16 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
23000.00 1879.49 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
24000.00 1882.84 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
25000.00 1886.20 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
26000.00 1889.58 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
27000.00 1892.98 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
28000.00 1896.39 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
29000.00 1899.82 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
30000.00 1911.58 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
31000.00 1924.54 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
32000.00 1937.25 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
33000.00 1949.72 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
34000.00 1961.95 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
35000.00 1973.96 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
36000.00 1985.75 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
37000.00 1997.33 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
38000.00 2008.71 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
39000.00 2019.89 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
40000.00 2030.88 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
