Title: Allan et al. 1989 (see Ghiorso 1997)

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
14000.00 1850.00 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
15000.00 1853.23 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
16000.00 1856.46 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
17000.00 1859.72 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
18000.00 1862.98 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
19000.00 1866.25 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
20000.00 1869.54 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
21000.00 1872.85 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
22000.00 1876.16 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
23000.00 1879.49 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
24000.00 1882.84 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
25000.00 1886.20 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
26000.00 1889.58 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
27000.00 1892.98 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
28000.00 1896.39 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
29000.00 1899.82 100.349001 48.5107 1.00649 17.5786 0.876965 0.0298957 7.57255 9.06835 12.4067 2.64078 0.0298957 0.0797218 0.199304
30000.00 1911.58 98.361901 48.6389 1.02682 17.4519 0.894681 0.0304996 7.57775 8.89123 12.479 2.69413 0.0304996 0.0813323 0.203331
31000.00 1924.54 96.129742 48.7897 1.05066 17.3036 0.915456 0.0312078 7.58328 8.68671 12.5602 2.75669 0.0312078 0.0832209 0.208052
32000.00 1937.25 93.997556 48.941 1.0745 17.1557 0.936222 0.0319157 7.5881 8.48552 12.638 2.81922 0.0319157 0.0851086 0.212771
33000.00 1949.72 91.959768 49.0927 1.09831 17.0082 0.956968 0.032623 7.59214 8.28759 12.7126 2.8817 0.032623 0.0869946 0.217486
34000.00 1961.95 90.011210 49.2448 1.12208 16.8613 0.977684 0.0333292 7.59533 8.09283 12.7842 2.94408 0.0333292 0.0888778 0.222195
35000.00 1973.96 88.147081 49.397 1.14581 16.7149 0.99836 0.034034 7.59761 7.90119 12.8531 3.00634 0.034034 0.0907574 0.226894
36000.00 1985.75 86.362914 49.5494 1.16948 16.5691 1.01899 0.0347371 7.5989 7.7126 12.9194 3.06845 0.0347371 0.0926324 0.231581
37000.00 1997.33 84.654547 49.7018 1.19308 16.4241 1.03955 0.0354381 7.59916 7.52701 12.9833 3.13037 0.0354381 0.0945017 0.236254
38000.00 2008.71 83.018092 49.8541 1.2166 16.2798 1.06004 0.0361367 7.59835 7.34439 13.0451 3.19208 0.0361367 0.0963645 0.240911
39000.00 2019.89 81.449917 50.0063 1.24003 16.1364 1.08045 0.0368324 7.59641 7.16469 13.1048 3.25353 0.0368324 0.0982199 0.24555
40000.00 2030.88 79.946622 50.1581 1.26334 15.9938 1.10077 0.037525 7.59332 6.98789 13.1627 3.31471 0.037525 0.100067 0.250167
