Title: Allan et al. 1989 (see Ghiorso 1997)

Phase Masses:
Pressure Temperature mass liquid_0 garnet_0 
14000.00 1850.00 100.349001 100.349001 0.000000 
15000.00 1853.23 100.349001 100.349001 0.000000 
16000.00 1856.46 100.349001 100.349001 0.000000 
17000.00 1859.72 100.349001 100.349001 0.000000 
18000.00 1862.98 100.349001 100.349001 0.000000 
19000.00 1866.25 100.349001 100.349001 0.000000 
20000.00 1869.54 100.349001 100.349001 0.000000 
21000.00 1872.85 100.349001 100.349001 0.000000 
22000.00 1876.16 100.349001 100.349001 0.000000 
23000.00 1879.49 100.349001 100.349001 0.000000 
24000.00 1882.84 100.349001 100.349001 0.000000 
25000.00 1886.20 100.349001 100.349001 0.000000 
26000.00 1889.58 100.349001 100.349001 0.000000 
27000.00 1892.98 100.349001 100.349001 0.000000 
28000.00 1896.39 100.349001 100.349001 0.000000 
29000.00 1899.82 100.349001 100.349001 0.000000 
30000.00 1911.58 100.349001 98.361901 1.987100 
31000.00 1924.54 100.349001 96.129742 4.219259 
32000.00 1937.25 100.349001 93.997556 6.351445 
33000.00 1949.72 100.349001 91.959768 8.389233 
34000.00 1961.95 100.349001 90.011210 10.337791 
35000.00 1973.96 100.349001 88.147081 12.201920 
36000.00 1985.75 100.349001 86.362914 13.986086 
37000.00 1997.33 100.349001 84.654547 15.694454 
38000.00 2008.71 100.349001 83.018092 17.330909 
39000.00 2019.89 100.349001 81.449917 18.899084 
40000.00 2030.88 100.349001 79.946622 20.402378 
