Title: Allan et al. 1989 (see Ghiorso 1997)

Phase Volumes:
Pressure Temperature mass V liquid_0 garnet_0 
14000.00 1850.00 100.349001 36.189312 36.189312 0.000000 
15000.00 1853.23 100.349001 36.062795 36.062795 0.000000 
16000.00 1856.46 100.349001 35.939279 35.939279 0.000000 
17000.00 1859.72 100.349001 35.818633 35.818633 0.000000 
18000.00 1862.98 100.349001 35.700735 35.700735 0.000000 
19000.00 1866.25 100.349001 35.585474 35.585474 0.000000 
20000.00 1869.54 100.349001 35.472742 35.472742 0.000000 
21000.00 1872.85 100.349001 35.362442 35.362442 0.000000 
22000.00 1876.16 100.349001 35.254482 35.254482 0.000000 
23000.00 1879.49 100.349001 35.148775 35.148775 0.000000 
24000.00 1882.84 100.349001 35.045241 35.045241 0.000000 
25000.00 1886.20 100.349001 34.943803 34.943803 0.000000 
26000.00 1889.58 100.349001 34.844391 34.844391 0.000000 
27000.00 1892.98 100.349001 34.746938 34.746938 0.000000 
28000.00 1896.39 100.349001 34.651379 34.651379 0.000000 
29000.00 1899.82 100.349001 34.557655 34.557655 0.000000 
30000.00 1911.58 100.349001 34.377878 33.820280 0.557598 
31000.00 1924.54 100.349001 34.191821 33.007984 1.183837 
32000.00 1937.25 100.349001 34.014655 32.232776 1.781879 
33000.00 1949.72 100.349001 33.845841 31.492561 2.353280 
34000.00 1961.95 100.349001 33.684877 30.785394 2.899483 
35000.00 1973.96 100.349001 33.531301 30.109471 3.421830 
36000.00 1985.75 100.349001 33.384684 29.463112 3.921572 
37000.00 1997.33 100.349001 33.244628 28.844753 4.399875 
38000.00 2008.71 100.349001 33.110762 28.252933 4.857829 
39000.00 2019.89 100.349001 32.982741 27.686289 5.296452 
40000.00 2030.88 100.349001 32.860245 27.143544 5.716700 
