Title: Allan et al. 1989 (see Ghiorso 1997)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
13931.40 1850.00 100.349185 1.0000000000000000 1.000000 301.519228 -1144514.959733 36.167082 -123.203600 2789.170671 153.199641 -4.922 0.000 2.774600 0.000000 0.898 0.00339048 0.000
13792.00 1834.69 100.349326 1.0000000000000000 1.000000 300.285399 -1147294.608404 36.141782 -124.441358 2787.007040 153.193271 -5.032 0.000 2.776546 0.000000 0.941 0.00335495 0.000
13652.70 1819.38 100.349487 1.0000000000000000 1.000000 299.040942 -1150074.406641 36.116689 -125.673908 2784.861761 153.187214 -5.144 0.000 2.778480 0.000000 0.984 0.00332076 0.000
13513.40 1804.08 100.349668 1.0000000000000000 1.000000 297.786554 -1152853.156718 36.091844 -126.901768 2782.733089 153.181476 -5.258 0.000 2.780397 0.000000 1.028 0.0032879 0.000
13374.10 1788.77 100.349869 1.0000000000000000 1.000000 296.520357 -1155633.938547 36.067190 -128.125368 2780.621636 153.176048 -5.374 0.000 2.782304 0.000000 1.072 0.00325632 0.000
13234.80 1773.46 100.350092 1.0000000000000000 1.000000 295.243004 -1158415.242447 36.042754 -129.344560 2778.527474 153.170936 -5.492 0.000 2.784196 0.000000 1.118 0.00322602 0.000
13095.50 1758.15 100.350338 1.0000000000000000 1.000000 293.954298 -1161197.089659 36.018536 -130.559392 2776.450881 153.166141 -5.612 0.000 2.786075 0.000000 1.164 0.00319699 0.000
12956.20 1742.85 100.350607 1.0000000000000000 1.000000 292.654918 -1163977.971708 35.994564 -131.769736 2774.392038 153.161668 -5.734 0.000 2.787938 0.000000 1.211 0.00316922 0.000
12816.80 1727.54 100.350901 1.0000000000000000 1.000000 291.342935 -1166761.288432 35.970794 -132.976677 2772.349935 153.157514 -5.858 0.000 2.789788 0.000000 1.259 0.00314269 0.000
12677.50 1712.23 100.351220 1.0000000000000000 1.000000 290.018952 -1169544.902402 35.947226 -134.178750 2770.327945 153.153681 -5.985 0.000 2.791626 0.000000 1.308 0.00311738 0.000
12538.20 1696.92 100.351566 1.0000000000000000 1.000000 288.682780 -1172329.154238 35.923875 -135.376686 2768.324825 153.150173 -6.114 0.000 2.793450 0.000000 1.357 0.00309331 0.000
12398.90 1681.62 100.351939 1.0000000000000000 1.000000 287.335106 -1175112.539120 35.900767 -136.570380 2766.340895 153.146996 -6.245 0.000 2.795259 0.000000 1.408 0.00307047 0.000
12259.60 1666.31 100.352341 1.0000000000000000 1.000000 285.973887 -1177898.147047 35.877847 -137.760240 2764.376687 153.144147 -6.378 0.000 2.797056 0.000000 1.459 0.00304883 0.000
12120.30 1651.00 100.352774 1.0000000000000000 1.000000 284.599790 -1180684.476056 35.855141 -138.946167 2762.432560 153.141633 -6.514 0.000 2.798839 0.000000 1.512 0.0030284 0.000
11981.00 1635.69 100.354691 0.9034119499356371 0.915137 280.349485 -1188201.066771 35.419429 -131.751447 2683.111517 149.538443 -6.653 0.000 2.797021 3.224800 1.613 0.00349302 0.000
