Title: Allan et al. 1989 (see Ghiorso 1997)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
14000.00 1850.00 100.349001 1.0000000000000000 1.000000 301.499587 -1144299.929513 36.158483 -122.744751 2790.413462 153.199140 -4.922 0.000 2.775255 0.000000 0.898 0.00339659 0.000
15000.00 1853.39 100.349001 1.0000000000000000 1.000000 301.499587 -1140689.634604 36.048542 -116.142466 2811.864747 153.207443 -4.825 0.072 2.783719 0.000000 0.889 0.00350633 0.000
16000.00 1856.80 100.349001 1.0000000000000000 1.000000 301.499587 -1137089.999355 35.945252 -109.786015 2835.829133 153.216609 -4.730 0.143 2.791718 0.000000 0.880 0.00365009 0.000
17000.00 1860.26 100.349001 1.0000000000000000 1.000000 301.499587 -1133500.370004 35.848387 -103.675053 2862.306073 153.226648 -4.635 0.214 2.799261 0.000000 0.870 0.00383541 0.000
18000.00 1863.76 100.349001 1.0000000000000000 1.000000 301.499587 -1129920.115380 35.757720 -97.809204 2891.294967 153.237570 -4.542 0.283 2.806359 0.000000 0.861 0.00407132 0.000
19000.00 1867.29 100.349001 1.0000000000000000 1.000000 301.499587 -1126348.626805 35.673028 -92.188060 2922.795160 153.249383 -4.449 0.350 2.813022 0.000000 0.851 0.00436891 0.000
20000.00 1870.88 100.349001 1.0000000000000000 1.000000 301.499587 -1122785.317989 35.594088 -86.811177 2956.805947 153.262100 -4.357 0.417 2.819260 0.000000 0.841 0.00474203 0.000
21000.00 1874.51 100.349001 1.0000000000000000 1.000000 301.499587 -1119229.624909 35.520677 -81.678078 2993.326566 153.275732 -4.266 0.483 2.825087 0.000000 0.832 0.00520823 0.000
22000.00 1878.20 100.349001 1.0000000000000000 1.000000 301.499587 -1115681.005691 35.452574 -76.788253 3032.356201 153.290290 -4.176 0.548 2.830514 0.000000 0.822 0.00578996 0.000
23000.00 1881.95 100.349001 1.0000000000000000 1.000000 301.499587 -1112138.940474 35.389560 -72.141157 3073.893980 153.305788 -4.087 0.611 2.835554 0.000000 0.812 0.00651614 0.000
24000.00 1885.75 100.349001 1.0000000000000000 1.000000 301.499587 -1108602.931267 35.331418 -67.736208 3117.938975 153.322238 -3.998 0.673 2.840220 0.000000 0.802 0.00742417 0.000
25000.00 1889.62 100.349001 1.0000000000000000 1.000000 301.499587 -1105072.501800 35.277930 -63.572792 3164.490201 153.339654 -3.910 0.735 2.844526 0.000000 0.792 0.00856267 0.000
26000.00 1893.55 100.349001 1.0000000000000000 1.000000 301.499587 -1101547.197362 35.228881 -59.650257 3213.546612 153.358052 -3.823 0.795 2.848487 0.000000 0.781 0.00999497 0.000
27000.00 1897.55 100.349001 1.0000000000000000 1.000000 301.499587 -1098026.584632 35.184060 -55.967917 3265.107107 153.377446 -3.737 0.854 2.852115 0.000000 0.771 0.0118038 0.000
28000.00 1904.21 100.349001 0.9938446175655631 0.995075 301.499587 -1094510.658249 35.113553 -52.188996 3302.515344 153.163279 -3.627 0.918 2.854309 3.571814 0.757 0.0143069 0.000
29000.00 1917.70 100.349001 0.9717864731527662 0.977340 301.499587 -1091006.504014 34.970921 -47.881854 3298.633212 152.345839 -3.458 0.998 2.853194 3.572679 0.736 0.0182561 0.000
30000.00 1931.09 100.349001 0.9504264046154652 0.960040 301.499587 -1087516.207538 34.836284 -44.003470 3297.990569 151.558580 -3.291 1.076 2.851744 3.573587 0.716 0.0235934 0.000
31000.00 1944.38 100.349001 0.9297304766690387 0.943165 301.499587 -1084039.002774 34.708979 -40.543413 3300.551560 150.800004 -3.128 1.153 2.849973 3.574542 0.696 0.0308711 0.000
32000.00 1957.59 100.349001 0.9096676237200281 0.926703 301.499587 -1080574.188376 34.588375 -37.492074 3306.281804 150.068753 -2.967 1.229 2.847901 3.575545 0.676 0.0408809 0.000
33000.00 1970.70 100.349001 0.8902093687216189 0.910645 301.499587 -1077121.124595 34.473869 -34.840567 3315.148646 149.363594 -2.808 1.304 2.845549 3.576597 0.658 0.0547639 0.000
34000.00 1983.75 100.349001 0.8713295866181779 0.894980 301.499587 -1073679.230469 34.364888 -32.580654 3327.121369 148.683408 -2.652 1.379 2.842938 3.577701 0.639 0.074172 0.000
35000.00 1996.72 100.349001 0.8530043035435237 0.879697 301.499587 -1070247.981239 34.260881 -30.704672 3342.171378 148.027177 -2.498 1.453 2.840092 3.578856 0.621 0.101507 0.000
36000.00 2009.63 100.349001 0.8351938766822393 0.864777 301.499587 -1066826.907575 34.161253 -29.206055 3360.116902 147.392918 -2.346 1.526 2.837020 3.580158 0.604 0.14028 0.000
37000.00 2022.48 100.349001 0.8178745748498060 0.850207 301.499587 -1063415.601918 34.065472 -28.078422 3380.906317 146.779617 -2.197 1.598 2.833746 3.581594 0.587 0.195628 0.000
38000.00 2035.28 100.349001 0.8010478341008090 0.835989 301.499587 -1060013.698777 33.973124 -27.314904 3404.693748 146.187714 -2.050 1.669 2.830319 3.583056 0.571 0.275064 0.000
39000.00 2048.03 100.349001 0.7846971939047035 0.822116 301.499587 -1056620.878235 33.883744 -26.909548 3431.462632 145.616537 -1.903 1.741 2.826771 3.584552 0.555 0.389617 0.000
40000.00 2060.74 100.349001 0.7688076493588422 0.808579 301.499587 -1053236.866070 33.796883 -26.856698 3461.198633 145.065475 -1.758 1.813 2.823135 3.586085 0.540 0.555459 0.000
41000.00 2073.41 100.349001 0.7533655576450876 0.795370 301.499587 -1049861.432040 33.712110 -27.150951 3493.889603 144.533978 -1.614 1.884 2.819446 3.587658 0.524 0.79627 0.000
42000.00 2086.02 100.349001 0.7360176086822825 0.779970 301.499587 -1046495.329893 33.579149 -26.636122 3430.927031 143.911235 -1.465 1.962 2.820030 3.585388 0.516 1 0.000
43000.00 2098.39 100.349001 0.7156135276340783 0.761121 301.499587 -1043147.643535 33.378072 -24.059617 3220.221046 143.137427 -1.308 2.050 2.826682 3.579167 0.517 1 0.000
