Title: Allan et al. 1989 (see Ghiorso 1997)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
14000.00 1850.00 100.349001 1.0000000000000000 1.000000 300.744744 -1146441.196482 36.189312 -136.652703 2666.812967 153.188791 -4.922 0.000 2.772891 0.000000 0.898 0.00144397 0.000
15000.00 1853.23 100.349001 1.0000000000000000 1.000000 300.744744 -1142828.616720 36.062795 -133.624951 2670.111646 153.084293 -4.826 0.072 2.782619 0.000000 0.889 0.00144368 0.000
16000.00 1856.46 100.349001 1.0000000000000000 1.000000 300.744744 -1139228.537494 35.939279 -130.733732 2673.381556 152.969499 -4.732 0.144 2.792182 0.000000 0.881 0.00144834 0.000
17000.00 1859.72 100.349001 1.0000000000000000 1.000000 300.744744 -1135640.665323 35.818633 -127.969431 2676.655841 152.844291 -4.639 0.214 2.801587 0.000000 0.872 0.00145734 0.000
18000.00 1862.98 100.349001 1.0000000000000000 1.000000 300.744744 -1132064.719340 35.700735 -125.323364 2679.963793 152.708567 -4.547 0.283 2.810838 0.000000 0.863 0.0014702 0.000
19000.00 1866.25 100.349001 1.0000000000000000 1.000000 300.744744 -1128500.430405 35.585474 -122.787668 2683.331363 152.562242 -4.456 0.351 2.819943 0.000000 0.854 0.00148656 0.000
20000.00 1869.54 100.349001 1.0000000000000000 1.000000 300.744744 -1124947.540295 35.472742 -120.355197 2686.781607 152.405241 -4.366 0.418 2.828905 0.000000 0.845 0.00150614 0.000
21000.00 1872.85 100.349001 1.0000000000000000 1.000000 300.744744 -1121405.800972 35.362442 -118.019437 2690.335059 152.237499 -4.277 0.484 2.837728 0.000000 0.836 0.00152874 0.000
22000.00 1876.16 100.349001 1.0000000000000000 1.000000 300.744744 -1117874.973918 35.254482 -115.774440 2694.010067 152.058958 -4.189 0.549 2.846418 0.000000 0.827 0.00155419 0.000
23000.00 1879.49 100.349001 1.0000000000000000 1.000000 300.744744 -1114354.829522 35.148775 -113.614755 2697.823078 151.869566 -4.102 0.613 2.854979 0.000000 0.818 0.00158238 0.000
24000.00 1882.84 100.349001 1.0000000000000000 1.000000 300.744744 -1110845.146517 35.045241 -111.535378 2701.788886 151.669272 -4.016 0.675 2.863413 0.000000 0.809 0.00161321 0.000
25000.00 1886.20 100.349001 1.0000000000000000 1.000000 300.744744 -1107345.711474 34.943803 -109.531704 2705.920851 151.458029 -3.931 0.737 2.871725 0.000000 0.801 0.00164663 0.000
26000.00 1889.58 100.349001 1.0000000000000000 1.000000 300.744744 -1103856.318322 34.844391 -107.599489 2710.231090 151.235790 -3.847 0.798 2.879918 0.000000 0.792 0.0016826 0.000
27000.00 1892.98 100.349001 1.0000000000000000 1.000000 300.744744 -1100376.767914 34.746938 -105.734810 2714.730646 151.002509 -3.764 0.858 2.887996 0.000000 0.783 0.00172109 0.000
28000.00 1896.39 100.349001 1.0000000000000000 1.000000 300.744744 -1096906.867622 34.651379 -103.934037 2719.429636 150.758136 -3.682 0.916 2.895960 0.000000 0.774 0.00176212 0.000
29000.00 1899.82 100.349001 1.0000000000000000 1.000000 300.744744 -1093446.430961 34.557655 -102.193803 2724.337380 150.502621 -3.602 0.974 2.903814 0.000000 0.765 0.00180569 0.000
30000.00 1911.58 100.349001 0.9801981090759850 0.983780 300.744744 -1089999.063794 34.377878 -99.008532 2703.444415 149.507549 -3.446 1.051 2.908370 3.563681 0.746 0.00191237 0.000
31000.00 1924.54 100.349001 0.9579541539429621 0.965377 300.744744 -1086570.655337 34.191821 -95.744630 2680.173592 148.419377 -3.281 1.129 2.912318 3.564054 0.726 0.00203708 0.000
32000.00 1937.25 100.349001 0.9367064478903430 0.947614 300.744744 -1083160.403305 34.014655 -92.658339 2659.014126 147.364809 -3.121 1.206 2.916210 3.564465 0.706 0.0021702 0.000
33000.00 1949.72 100.349001 0.9163994406052928 0.930471 300.744744 -1079767.445956 33.845841 -89.737216 2639.819301 146.341411 -2.966 1.280 2.920047 3.564911 0.688 0.00231224 0.000
34000.00 1961.95 100.349001 0.8969816283764784 0.913923 300.744744 -1076390.973533 33.684877 -86.969908 2622.454708 145.346913 -2.815 1.353 2.923828 3.565392 0.670 0.00246371 0.000
35000.00 1973.96 100.349001 0.8784051709946595 0.897951 300.744744 -1073030.224380 33.531301 -84.346037 2606.797278 144.379198 -2.667 1.425 2.927553 3.565905 0.652 0.00262517 0.000
36000.00 1985.75 100.349001 0.8606255540743277 0.882534 300.744744 -1069684.481409 33.384684 -81.856093 2592.734387 143.436280 -2.524 1.494 2.931222 3.566449 0.636 0.00279719 0.000
37000.00 1997.33 100.349001 0.8436012903559367 0.867652 300.744744 -1066353.068889 33.244628 -79.491341 2580.163025 142.516293 -2.385 1.563 2.934833 3.567023 0.619 0.00298038 0.000
38000.00 2008.71 100.349001 0.8272936545908195 0.853286 300.744744 -1063035.349510 33.110762 -77.243748 2568.989035 141.617476 -2.249 1.629 2.938388 3.567625 0.604 0.00317539 0.000
39000.00 2019.89 100.349001 0.8116664474922823 0.839417 300.744744 -1059730.721700 32.982741 -75.105907 2559.126408 140.738165 -2.116 1.694 2.941886 3.568254 0.589 0.00338291 0.000
40000.00 2030.88 100.349001 0.7966857849342966 0.826030 300.744744 -1056438.617164 32.860245 -73.070981 2550.496641 139.876778 -1.987 1.758 2.945327 3.568908 0.574 0.00360363 0.000
