Title: Primitive mantle composition from McDonough & Sun (1995),

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
39887.50 1637.67 1.259730 38.4747 2.07712 3.78563 0.828511 1.17603 11.6104 17.5013 4.14929 11.5437 1.56971 1.21317 6.07045
39593.00 1637.36 1.268236 38.5202 2.0702 3.88968 0.829181 1.16325 11.5348 17.44 4.19062 11.5072 1.58588 1.22907 6.03995
39298.60 1637.06 1.277229 38.5666 2.06304 3.99696 0.829775 1.15004 11.4591 17.378 4.23226 11.4688 1.60249 1.2449 6.00805
39004.20 1636.75 1.286500 38.6139 2.05557 4.10733 0.830282 1.13663 11.3829 17.3146 4.27398 11.4292 1.61932 1.26066 5.9756
38709.80 1636.45 1.296298 38.6623 2.04787 4.22105 0.830706 1.12279 11.3066 17.2504 4.31599 11.3875 1.63663 1.27633 5.94174
38415.40 1636.15 1.306525 38.7117 2.03989 4.33806 0.831042 1.10862 11.23 17.1851 4.35816 11.3443 1.65432 1.2919 5.9069
38121.10 1635.84 1.317074 38.762 2.0316 4.45821 0.831281 1.09426 11.1529 17.1184 4.40037 11.2998 1.67226 1.30734 5.87152
37826.80 1635.54 1.328210 38.8135 2.02307 4.58182 0.831429 1.07946 11.0757 17.0509 4.44282 11.2532 1.69075 1.32263 5.83472
37532.40 1635.23 1.339716 38.866 2.01422 4.70872 0.831475 1.06444 10.998 16.9818 4.4853 11.2053 1.70954 1.33776 5.79735
37238.10 1634.93 1.351850 38.9199 2.00513 4.83908 0.831425 1.04899 10.9201 16.912 4.52797 11.1553 1.72892 1.35268 5.7586
36943.90 1634.62 1.364387 38.9749 1.99573 4.97267 0.831266 1.03332 10.8418 16.8406 4.57059 11.1039 1.74863 1.3674 5.7193
36649.60 1634.32 1.377616 39.0313 1.98609 5.10985 0.831005 1.01721 10.7632 16.7683 4.61341 11.0502 1.769 1.38186 5.67859
36355.30 1634.01 1.391302 39.089 1.97613 5.25032 0.830629 1.00089 10.6841 16.6944 4.65615 10.9952 1.78975 1.39607 5.63732
36061.10 1633.71 1.405730 39.1483 1.96593 5.3943 0.830145 0.984127 10.6049 16.6196 4.69901 10.9378 1.81122 1.40996 5.5947
35766.90 1633.41 1.420806 39.2092 1.95546 5.5417 0.829546 0.967041 10.5253 16.5435 4.74186 10.8785 1.83328 1.42353 5.55112
35472.70 1633.10 1.436427 39.2715 1.94468 5.6924 0.828823 0.949731 10.4452 16.4658 4.78458 10.8177 1.85581 1.43675 5.507
35178.50 1632.80 1.452699 39.3399 1.93383 5.84734 0.827955 0.932035 10.3655 16.3873 4.82337 10.7554 1.87953 1.44558 5.46233
34884.30 1632.49 1.468354 39.4354 1.92365 6.00993 0.826783 0.91436 10.2886 16.3079 4.83825 10.6971 1.90596 1.43017 5.42187
34590.20 1632.19 1.484911 39.5333 1.91323 6.1762 0.825474 0.89622 10.2114 16.2272 4.85314 10.6363 1.93338 1.41423 5.38003
34296.10 1631.89 1.498159 39.6162 1.90052 6.32683 0.824927 0.88313 10.1483 16.1663 4.87349 10.583 1.93571 1.40172 5.33989
34001.90 1631.58 1.509219 39.6893 1.88623 6.46876 0.824851 0.873223 10.0941 16.1178 4.8975 10.5345 1.92152 1.39145 5.30075
33707.80 1631.28 1.520833 39.7632 1.87166 6.61388 0.824711 0.863009 10.0404 16.0692 4.92194 10.484 1.90685 1.38082 5.26028
33413.80 1630.97 1.532824 39.8378 1.85677 6.76233 0.824479 0.852556 9.98643 16.0196 4.94669 10.4323 1.89193 1.37002 5.21912
33119.70 1630.67 1.545417 39.9134 1.8416 6.91397 0.824184 0.841781 9.9329 15.9699 4.97193 10.3784 1.87652 1.35886 5.1766
32825.60 1630.37 1.558529 39.9897 1.82613 7.06881 0.823813 0.83072 9.87947 15.9197 4.9976 10.3228 1.86073 1.34742 5.13305
32531.60 1630.06 1.572072 40.0669 1.81037 7.22681 0.823352 0.819407 9.82582 15.8685 5.02365 10.2659 1.8447 1.33582 5.08882
32237.60 1629.76 1.586276 40.1449 1.79433 7.3878 0.822831 0.807766 9.77268 15.8173 5.05025 10.2069 1.82818 1.32386 5.04326
31943.60 1629.45 1.600959 40.2237 1.778 7.55189 0.822224 0.795863 9.71934 15.7652 5.07728 10.1464 1.81141 1.31171 4.997
31649.60 1629.15 1.616352 40.3034 1.7614 7.71882 0.821558 0.783625 9.66655 15.7131 5.10492 10.0838 1.79416 1.29922 4.94942
31355.60 1628.85 1.632376 40.384 1.74454 7.88861 0.820823 0.771084 9.61397 15.6606 5.13313 10.0194 1.77655 1.28647 4.90083
31061.70 1628.54 1.648943 40.4654 1.72739 8.06119 0.820007 0.758276 9.56127 15.6073 5.16183 9.95357 1.7587 1.27354 4.85159
30767.80 1628.24 1.666302 40.5476 1.71 8.23638 0.819138 0.745127 9.50918 15.5541 5.19123 9.88553 1.74038 1.26028 4.80105
30473.90 1627.93 1.684265 40.6308 1.69234 8.41424 0.818193 0.7317 9.45702 15.5001 5.2212 9.81599 1.72182 1.24683 4.74985
30180.00 1627.63 1.703084 40.7148 1.67444 8.59451 0.817201 0.71793 9.40552 15.4463 5.25195 9.74423 1.70279 1.23306 4.69736
29886.10 1627.33 1.722683 40.7996 1.6563 8.77717 0.816151 0.703847 9.35435 15.3922 5.28342 9.67058 1.68342 1.21903 4.64392
29592.20 1627.02 1.742980 40.8853 1.63789 8.96221 0.815032 0.689483 9.3032 15.3374 5.31555 9.59538 1.66382 1.20483 4.58984
29298.40 1626.72 1.764234 40.9718 1.61927 9.14927 0.813876 0.674779 9.2528 15.283 5.34857 9.51793 1.64377 1.19032 4.53455
29004.50 1626.41 1.786267 41.0592 1.6004 9.33855 0.812657 0.659789 9.20247 15.228 5.38235 9.43887 1.6235 1.17564 4.47861
28710.70 1626.11 1.809344 41.1474 1.58132 9.52962 0.811409 0.644461 9.15297 15.1733 5.4171 9.35752 1.60279 1.16064 4.42149
28416.90 1625.81 1.833398 41.2363 1.56202 9.72252 0.81012 0.628824 9.10396 15.1186 5.45278 9.2742 1.58176 1.14541 4.36348
28123.10 1625.50 1.858348 41.326 1.54249 9.9172 0.808781 0.61291 9.05514 15.0634 5.48932 9.18923 1.56053 1.13004 4.3049
27829.40 1625.20 1.884490 41.4165 1.52276 10.1133 0.807425 0.59667 9.00725 15.0088 5.527 9.10193 1.53888 1.11436 4.24518
27535.60 1624.90 1.911773 41.5076 1.50282 10.3109 0.806042 0.580126 8.95996 14.9542 5.56577 9.01256 1.51692 1.09846 4.1846
27241.90 1624.59 1.940096 41.5995 1.48266 10.5099 0.804622 0.563326 8.91299 14.8993 5.60553 8.92152 1.49477 1.08242 4.12351
26948.20 1624.29 1.969801 41.6919 1.46232 10.7099 0.803201 0.546213 8.86707 14.8451 5.64662 8.82805 1.47223 1.0661 4.06132
26654.50 1623.99 2.000823 41.7849 1.44177 10.911 0.801769 0.528824 8.8219 14.7911 5.68896 8.73247 1.4494 1.04957 3.99836
26360.80 1623.68 2.033085 41.8785 1.42101 11.1131 0.800316 0.511199 8.77718 14.7369 5.73248 8.63512 1.4264 1.03291 3.93491
26067.20 1623.38 2.066940 41.9725 1.40007 11.3157 0.798879 0.4933 8.73366 14.6836 5.7775 8.53529 1.40304 1.01599 3.87046
25773.50 1623.08 2.102354 42.0669 1.37893 11.5191 0.79745 0.475156 8.69105 14.6307 5.824 8.43324 1.37941 0.99888 3.80526
25479.90 1622.77 2.139229 42.1617 1.35758 11.7229 0.79602 0.456822 8.64906 14.5777 5.87186 8.32937 1.35563 0.981662 3.73966
25186.30 1622.47 2.177985 42.2567 1.33605 11.9269 0.794627 0.438258 8.60844 14.5258 5.92147 8.22289 1.33151 0.964194 3.67312
24892.70 1622.17 2.218571 42.3518 1.31432 12.1311 0.793263 0.419512 8.56892 14.4745 5.97277 8.11413 1.30715 0.946555 3.60592
24599.10 1621.86 2.260926 42.4472 1.29236 12.3355 0.791921 0.40063 8.53022 14.4233 6.02568 8.00339 1.28266 0.928823 3.53837
24305.60 1621.56 2.305490 42.5423 1.27022 12.5395 0.790641 0.381596 8.49312 14.3734 6.08059 7.88998 1.25787 0.910869 3.46998
24012.00 1621.25 2.352077 42.6374 1.24784 12.7433 0.7894 0.362475 8.45699 14.3237 6.13731 7.77446 1.23295 0.892828 3.40125
23718.50 1620.95 2.401147 42.7322 1.22524 12.9465 0.788241 0.343263 8.42264 14.2754 6.19624 7.65616 1.20776 0.874582 3.33174
23425.00 1620.65 2.452693 42.8265 1.20241 13.1491 0.787158 0.324015 8.3898 14.2281 6.25734 7.53534 1.18237 0.856202 3.26172
23131.50 1620.34 2.506678 42.9203 1.17931 13.351 0.786146 0.304791 8.35825 14.1812 6.32053 7.41229 1.15691 0.837762 3.19148
22838.00 1620.04 2.563669 43.0134 1.15594 13.5517 0.785251 0.285588 8.32879 14.1359 6.38631 7.28622 1.13119 0.819138 3.12053
22544.60 1619.74 2.623642 43.1055 1.13228 13.7513 0.784469 0.266483 8.30123 14.0918 6.4546 7.15745 1.10533 0.800414 3.0492
22251.10 1619.44 2.686847 43.1966 1.10829 13.9495 0.783817 0.247511 8.27569 14.0489 6.52558 7.0258 1.07933 0.781585 2.97747
21957.70 1619.13 2.753230 43.2865 1.08393 14.1462 0.783292 0.228759 8.25204 14.0068 6.59917 6.89161 1.05331 0.762741 2.90568
21664.30 1618.83 2.823502 43.3748 1.05917 14.341 0.782949 0.210239 8.23114 13.9666 6.67595 6.75399 1.02709 0.743757 2.83336
21370.90 1618.53 2.897700 43.4614 1.03396 14.5337 0.782792 0.192034 8.21289 13.9279 6.7559 6.61315 1.00079 0.724713 2.76081
21077.50 1618.22 2.975840 43.5461 1.00822 14.7244 0.782825 0.174224 8.19722 13.8902 6.83901 6.46928 0.974515 0.705683 2.68832
20784.20 1617.92 3.058688 43.6285 0.981899 14.9123 0.783114 0.156853 8.18514 13.8546 6.92591 6.32149 0.948119 0.686569 2.6155
20490.80 1617.62 3.146366 43.7082 0.95488 15.0975 0.783675 0.139999 8.1767 13.8208 7.01669 6.1698 0.921698 0.667437 2.54262
20197.50 1617.31 3.238832 43.7853 0.927063 15.2795 0.784527 0.123765 8.17206 13.7883 7.11136 6.01434 0.895384 0.648382 2.47003
19904.20 1617.01 3.337017 43.8588 0.898303 15.4579 0.785759 0.108197 8.17251 13.7582 7.21076 5.85395 0.86904 0.629305 2.39735
19610.90 1616.71 3.440956 43.9285 0.868423 15.6321 0.787413 0.0933926 8.1785 13.73 7.31508 5.68847 0.842789 0.610296 2.32494
19317.60 1616.40 3.547959 44.0506 0.856277 15.732 0.788915 0.086623 8.15474 13.6939 7.40096 5.57187 0.817371 0.59189 2.25482
19024.40 1616.10 3.659426 44.2168 0.859341 15.7727 0.790072 0.085873 8.10444 13.6517 7.47122 5.49539 0.792474 0.57386 2.18614
18731.20 1615.80 3.777721 44.3822 0.862395 15.812 0.791273 0.0851024 8.05519 13.6104 7.54433 5.4158 0.767659 0.555891 2.11768
18437.90 1615.50 3.903476 44.5467 0.865438 15.85 0.792522 0.0843127 8.00701 13.5702 7.62045 5.33301 0.742928 0.537982 2.04946
18144.70 1615.19 4.036844 44.7103 0.868439 15.8868 0.793803 0.0835079 7.95962 13.5305 7.69942 5.24734 0.718383 0.520208 1.98175
17851.60 1614.89 4.179328 44.8724 0.871436 15.9218 0.795161 0.0826865 7.91366 13.4923 7.78187 5.15812 0.693891 0.502473 1.91418
17558.40 1614.59 4.331458 45.0333 0.874401 15.9552 0.796583 0.0818522 7.86879 13.4553 7.86777 5.06555 0.669521 0.484825 1.84695
17265.20 1614.28 4.493615 45.1929 0.877301 15.9872 0.798053 0.0810097 7.82472 13.4188 7.95698 4.96994 0.64536 0.46733 1.7803
16972.10 1613.98 4.667667 45.3508 0.880164 16.0172 0.799615 0.0801592 7.78206 13.384 8.05015 4.87067 0.621295 0.449904 1.71392
16679.00 1613.68 4.854367 45.5071 0.882953 16.0454 0.801255 0.0793059 7.74048 13.3504 8.1472 4.76798 0.5974 0.4326 1.648
16385.90 1613.38 5.055005 45.6616 0.885651 16.0716 0.802976 0.0784539 7.69995 13.3179 8.2483 4.66186 0.573689 0.41543 1.58259
16092.80 1613.07 5.270444 45.8146 0.888212 16.096 0.804761 0.0776097 7.66011 13.2861 8.35331 4.55264 0.550238 0.398448 1.5179
15799.70 1612.77 5.503484 45.9657 0.89065 16.1179 0.806654 0.0767762 7.62152 13.256 8.46299 4.43967 0.526939 0.381576 1.45362
