Title: Primitive mantle composition from McDonough & Sun (1995),

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O Mg#
39887.50 1637.67 1.259730 4.177195 -12141.190025 0.461075 2.047267 -0.719 38.4747 2.07712 3.78563 0.828511 1.17603 11.6104 17.5013 4.14929 11.5437 1.56971 1.21317 6.07045 72.5
39593.00 1637.36 1.268236 4.203559 -12248.926710 0.464466 2.061386 -0.710 38.5202 2.0702 3.88968 0.829181 1.16325 11.5348 17.44 4.19062 11.5072 1.58588 1.22907 6.03995 72.6
39298.60 1637.06 1.277229 4.231372 -12361.979555 0.468029 2.076260 -0.701 38.5666 2.06304 3.99696 0.829775 1.15004 11.4591 17.378 4.23226 11.4688 1.60249 1.2449 6.00805 72.6
39004.20 1636.75 1.286500 4.259990 -12478.369065 0.471694 2.091559 -0.691 38.6139 2.05557 4.10733 0.830282 1.13663 11.3829 17.3146 4.27398 11.4292 1.61932 1.26066 5.9756 72.7
38709.80 1636.45 1.296298 4.290173 -12600.531883 0.475545 2.107674 -0.682 38.6623 2.04787 4.22105 0.830706 1.12279 11.3066 17.2504 4.31599 11.3875 1.63663 1.27633 5.94174 72.8
38415.40 1636.15 1.306525 4.321621 -12727.563418 0.479550 2.124451 -0.672 38.7117 2.03989 4.33806 0.831042 1.10862 11.23 17.1851 4.35816 11.3443 1.65432 1.2919 5.9069 72.8
38121.10 1635.84 1.317074 4.354002 -12858.448493 0.483674 2.141723 -0.662 38.762 2.0316 4.45821 0.831281 1.09426 11.1529 17.1184 4.40037 11.2998 1.67226 1.30734 5.87152 72.9
37826.80 1635.54 1.328210 4.388129 -12995.813203 0.488005 2.159904 -0.651 38.8135 2.02307 4.58182 0.831429 1.07946 11.0757 17.0509 4.44282 11.2532 1.69075 1.32263 5.83472 73.0
37532.40 1635.23 1.339716 4.423331 -13137.591869 0.492474 2.178654 -0.640 38.866 2.01422 4.70872 0.831475 1.06444 10.998 16.9818 4.4853 11.2053 1.70954 1.33776 5.79735 73.0
37238.10 1634.93 1.351850 4.460403 -13286.338519 0.497166 2.198379 -0.629 38.9199 2.00513 4.83908 0.831425 1.04899 10.9201 16.912 4.52797 11.1553 1.72892 1.35268 5.7586 73.1
36943.90 1634.62 1.364387 4.498645 -13439.874794 0.502007 2.218721 -0.618 38.9749 1.99573 4.97267 0.831266 1.03332 10.8418 16.8406 4.57059 11.1039 1.74863 1.3674 5.7193 73.1
36649.60 1634.32 1.377616 4.538948 -13601.122953 0.507095 2.240138 -0.606 39.0313 1.98609 5.10985 0.831005 1.01721 10.7632 16.7683 4.61341 11.0502 1.769 1.38186 5.67859 73.2
36355.30 1634.01 1.391302 4.580583 -13767.801127 0.512352 2.262258 -0.594 39.089 1.97613 5.25032 0.830629 1.00089 10.6841 16.6944 4.65615 10.9952 1.78975 1.39607 5.63732 73.3
36061.10 1633.71 1.405730 4.624424 -13942.757463 0.517875 2.285527 -0.581 39.1483 1.96593 5.3943 0.830145 0.984127 10.6049 16.6196 4.69901 10.9378 1.81122 1.40996 5.5947 73.3
35766.90 1633.41 1.420806 4.670183 -14125.147664 0.523634 2.309799 -0.568 39.2092 1.95546 5.5417 0.829546 0.967041 10.5253 16.5435 4.74186 10.8785 1.83328 1.42353 5.55112 73.4
35472.70 1633.10 1.436427 4.717533 -14313.983659 0.529594 2.334909 -0.555 39.2715 1.94468 5.6924 0.828823 0.949731 10.4452 16.4658 4.78458 10.8177 1.85581 1.43675 5.507 73.5
35178.50 1632.80 1.452699 4.766870 -14510.354913 0.535796 2.360977 -0.541 39.3399 1.93383 5.84734 0.827955 0.932035 10.3655 16.3873 4.82337 10.7554 1.87953 1.44558 5.46233 73.5
34884.30 1632.49 1.468354 4.814630 -14701.475340 0.541824 2.385760 -0.526 39.4354 1.92365 6.00993 0.826783 0.91436 10.2886 16.3079 4.83825 10.6971 1.90596 1.43017 5.42187 73.6
34590.20 1632.19 1.484911 4.865085 -14902.754375 0.548178 2.411928 -0.510 39.5333 1.91323 6.1762 0.825474 0.89622 10.2114 16.2272 4.85314 10.6363 1.93338 1.41423 5.38003 73.6
34296.10 1631.89 1.498159 4.904855 -15070.384223 0.553273 2.433128 -0.496 39.6162 1.90052 6.32683 0.824927 0.88313 10.1483 16.1663 4.87349 10.583 1.93571 1.40172 5.33989 73.7
34001.90 1631.58 1.509219 4.937524 -15215.967940 0.557534 2.451040 -0.483 39.6893 1.88623 6.46876 0.824851 0.873223 10.0941 16.1178 4.8975 10.5345 1.92152 1.39145 5.30075 73.7
33707.80 1631.28 1.520833 4.971776 -15367.941643 0.561986 2.469810 -0.470 39.7632 1.87166 6.61388 0.824711 0.863009 10.0404 16.0692 4.92194 10.484 1.90685 1.38082 5.26028 73.8
33413.80 1630.97 1.532824 5.007076 -15524.624466 0.566573 2.489160 -0.456 39.8378 1.85677 6.76233 0.824479 0.852556 9.98643 16.0196 4.94669 10.4323 1.89193 1.37002 5.21912 73.8
33119.70 1630.67 1.545417 5.044093 -15688.282506 0.571368 2.509443 -0.442 39.9134 1.8416 6.91397 0.824184 0.841781 9.9329 15.9699 4.97193 10.3784 1.87652 1.35886 5.1766 73.9
32825.60 1630.37 1.558529 5.082574 -15858.139992 0.576345 2.530527 -0.428 39.9897 1.82613 7.06881 0.823813 0.83072 9.87947 15.9197 4.9976 10.3228 1.86073 1.34742 5.13305 73.9
32531.60 1630.06 1.572072 5.122255 -16033.370373 0.581477 2.552277 -0.414 40.0669 1.81037 7.22681 0.823352 0.819407 9.82582 15.8685 5.02365 10.2659 1.8447 1.33582 5.08882 74.0
32237.60 1629.76 1.586276 5.163819 -16216.295661 0.586837 2.575051 -0.399 40.1449 1.79433 7.3878 0.822831 0.807766 9.77268 15.8173 5.05025 10.2069 1.82818 1.32386 5.04326 74.0
31943.60 1629.45 1.600959 5.206714 -16405.166149 0.592370 2.598564 -0.383 40.2237 1.778 7.55189 0.822224 0.795863 9.71934 15.7652 5.07728 10.1464 1.81141 1.31171 4.997 74.0
31649.60 1629.15 1.616352 5.251629 -16602.324970 0.598149 2.623179 -0.368 40.3034 1.7614 7.71882 0.821558 0.783625 9.66655 15.7131 5.10492 10.0838 1.79416 1.29922 4.94942 74.1
31355.60 1628.85 1.632376 5.298324 -16807.058237 0.604150 2.648773 -0.352 40.384 1.74454 7.88861 0.820823 0.771084 9.61397 15.6606 5.13313 10.0194 1.77655 1.28647 4.90083 74.1
31061.70 1628.54 1.648943 5.346528 -17018.517271 0.610346 2.675205 -0.335 40.4654 1.72739 8.06119 0.820007 0.758276 9.56127 15.6073 5.16183 9.95357 1.7587 1.27354 4.85159 74.2
30767.80 1628.24 1.666302 5.396985 -17239.274095 0.616817 2.702870 -0.319 40.5476 1.71 8.23638 0.819138 0.745127 9.50918 15.5541 5.19123 9.88553 1.74038 1.26028 4.80105 74.2
30473.90 1627.93 1.684265 5.449120 -17467.495452 0.623505 2.731467 -0.301 40.6308 1.69234 8.41424 0.818193 0.7317 9.45702 15.5001 5.2212 9.81599 1.72182 1.24683 4.74985 74.3
30180.00 1627.63 1.703084 5.503686 -17705.788577 0.630491 2.761397 -0.284 40.7148 1.67444 8.59451 0.817201 0.71793 9.40552 15.4463 5.25195 9.74423 1.70279 1.23306 4.69736 74.3
29886.10 1627.33 1.722683 5.560446 -17953.450814 0.637753 2.792538 -0.266 40.7996 1.6563 8.77717 0.816151 0.703847 9.35435 15.3922 5.28342 9.67058 1.68342 1.21903 4.64392 74.3
29592.20 1627.02 1.742980 5.619145 -18209.719915 0.645264 2.824759 -0.248 40.8853 1.63789 8.96221 0.815032 0.689483 9.3032 15.3374 5.31555 9.59538 1.66382 1.20483 4.58984 74.4
29298.40 1626.72 1.764234 5.680559 -18477.295087 0.653110 2.858472 -0.230 40.9718 1.61927 9.14927 0.813876 0.674779 9.2528 15.283 5.34857 9.51793 1.64377 1.19032 4.53455 74.4
29004.50 1626.41 1.786267 5.744138 -18754.460627 0.661234 2.893392 -0.211 41.0592 1.6004 9.33855 0.812657 0.659789 9.20247 15.228 5.38235 9.43887 1.6235 1.17564 4.47861 74.5
28710.70 1626.11 1.809344 5.810669 -19043.957667 0.669723 2.929937 -0.192 41.1474 1.58132 9.52962 0.811409 0.644461 9.15297 15.1733 5.4171 9.35752 1.60279 1.16064 4.42149 74.5
28416.90 1625.81 1.833398 5.879943 -19345.221555 0.678558 2.968002 -0.172 41.2363 1.56202 9.72252 0.81012 0.628824 9.10396 15.1186 5.45278 9.2742 1.58176 1.14541 4.36348 74.5
28123.10 1625.50 1.858348 5.951710 -19657.511691 0.687713 3.007460 -0.152 41.326 1.54249 9.9172 0.808781 0.61291 9.05514 15.0634 5.48932 9.18923 1.56053 1.13004 4.3049 74.6
27829.40 1625.20 1.884490 6.026840 -19983.920368 0.697285 3.048775 -0.132 41.4165 1.52276 10.1133 0.807425 0.59667 9.00725 15.0088 5.527 9.10193 1.53888 1.11436 4.24518 74.6
27535.60 1624.90 1.911773 6.105166 -20324.063943 0.707260 3.091866 -0.112 41.5076 1.50282 10.3109 0.806042 0.580126 8.95996 14.9542 5.56577 9.01256 1.51692 1.09846 4.1846 74.6
27241.90 1624.59 1.940096 6.186381 -20676.971454 0.717606 3.136573 -0.091 41.5995 1.48266 10.5099 0.804622 0.563326 8.91299 14.8993 5.60553 8.92152 1.49477 1.08242 4.12351 74.7
26948.20 1624.29 1.969801 6.271491 -21046.306845 0.728437 3.183438 -0.069 41.6919 1.46232 10.7099 0.803201 0.546213 8.86707 14.8451 5.64662 8.82805 1.47223 1.0661 4.06132 74.7
26654.50 1623.99 2.000823 6.360282 -21431.492441 0.739732 3.232353 -0.048 41.7849 1.44177 10.911 0.801769 0.528824 8.8219 14.7911 5.68896 8.73247 1.4494 1.04957 3.99836 74.8
26360.80 1623.68 2.033085 6.452516 -21831.864453 0.751470 3.283199 -0.026 41.8785 1.42101 11.1131 0.800316 0.511199 8.77718 14.7369 5.73248 8.63512 1.4264 1.03291 3.93491 74.8
26067.20 1623.38 2.066940 6.549224 -22251.184196 0.763766 3.336531 -0.004 41.9725 1.40007 11.3157 0.798879 0.4933 8.73366 14.6836 5.7775 8.53529 1.40304 1.01599 3.87046 74.8
25773.50 1623.08 2.102354 6.650283 -22689.273389 0.776611 3.392293 0.019 42.0669 1.37893 11.5191 0.79745 0.475156 8.69105 14.6307 5.824 8.43324 1.37941 0.99888 3.80526 74.8
25479.90 1622.77 2.139229 6.755392 -23145.210680 0.789977 3.450332 0.042 42.1617 1.35758 11.7229 0.79602 0.456822 8.64906 14.5777 5.87186 8.32937 1.35563 0.981662 3.73966 74.9
25186.30 1622.47 2.177985 6.865770 -23623.553724 0.804002 3.511309 0.065 42.2567 1.33605 11.9269 0.794627 0.438258 8.60844 14.5258 5.92147 8.22289 1.33151 0.964194 3.67312 74.9
24892.70 1622.17 2.218571 6.981246 -24123.924907 0.818672 3.575141 0.088 42.3518 1.31432 12.1311 0.793263 0.419512 8.56892 14.4745 5.97277 8.11413 1.30715 0.946555 3.60592 74.9
24599.10 1621.86 2.260926 7.101616 -24645.842378 0.833969 3.641732 0.112 42.4472 1.29236 12.3355 0.791921 0.40063 8.53022 14.4233 6.02568 8.00339 1.28266 0.928823 3.53837 74.9
24305.60 1621.56 2.305490 7.228154 -25194.076694 0.850040 3.711774 0.136 42.5423 1.27022 12.5395 0.790641 0.381596 8.49312 14.3734 6.08059 7.88998 1.25787 0.910869 3.46998 75.0
24012.00 1621.25 2.352077 7.360284 -25766.903449 0.866826 3.784971 0.161 42.6374 1.24784 12.7433 0.7894 0.362475 8.45699 14.3237 6.13731 7.77446 1.23295 0.892828 3.40125 75.0
23718.50 1620.95 2.401147 7.499336 -26369.338073 0.884483 3.862052 0.185 42.7322 1.22524 12.9465 0.788241 0.343263 8.42264 14.2754 6.19624 7.65616 1.20776 0.874582 3.33174 75.0
