Title: Primitive mantle composition from McDonough & Sun (1995),

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
39887.50 1637.67 98.679456 45.111 0.177174 4.46122 0.132923 0.374126 7.88039 38.0824 3.54454 0.217452 0.00934932 0.00579381 0.00357588
39593.00 1637.36 98.671042 45.111 0.177099 4.45994 0.133781 0.374221 7.8802 38.085 3.54395 0.216944 0.00900699 0.00548545 0.00344494
39298.60 1637.06 98.662142 45.1109 0.177019 4.4586 0.134656 0.374319 7.87998 38.0876 3.54335 0.216413 0.00864817 0.00516897 0.0033077
39004.20 1636.75 98.652966 45.1109 0.176939 4.4572 0.135547 0.374421 7.87977 38.0903 3.54274 0.215871 0.00827896 0.00484687 0.00316649
38709.80 1636.45 98.643266 45.1109 0.176853 4.45573 0.136455 0.374527 7.87953 38.0932 3.54211 0.215305 0.00789141 0.00451616 0.00301826
38415.40 1636.15 98.633138 45.1108 0.176764 4.4542 0.137381 0.374636 7.87928 38.0962 3.54147 0.214719 0.00748821 0.0041781 0.00286405
38121.10 1635.84 98.622690 45.1108 0.176676 4.45261 0.138324 0.374749 7.87902 38.0993 3.54081 0.214122 0.00707249 0.00383416 0.00270505
37826.80 1635.54 98.611657 45.1108 0.176581 4.45094 0.139286 0.374867 7.87875 38.1025 3.54014 0.213498 0.00663541 0.00348107 0.00253788
37532.40 1635.23 98.600256 45.1107 0.176486 4.44919 0.140267 0.374988 7.87847 38.1059 3.53945 0.21286 0.00618359 0.00312154 0.00236507
37238.10 1634.93 98.588229 45.1107 0.176384 4.44737 0.141267 0.375115 7.87817 38.1094 3.53875 0.212193 0.00570818 0.00275262 0.00218323
36943.90 1634.62 98.575801 45.1107 0.176281 4.44547 0.142286 0.375246 7.87786 38.113 3.53803 0.211512 0.00521625 0.00237729 0.00199508
36649.60 1634.32 98.562684 45.1107 0.176171 4.44347 0.143327 0.375382 7.87753 38.1169 3.53729 0.2108 0.00469752 0.00199188 0.00179668
36355.30 1634.01 98.549111 45.1107 0.176061 4.44139 0.144388 0.375523 7.87721 38.1208 3.53653 0.210072 0.00415949 0.00159964 0.0015909
36061.10 1633.71 98.534800 45.1106 0.175942 4.43921 0.145471 0.37567 7.87686 38.125 3.53575 0.209311 0.00359184 0.00119725 0.00137379
35766.90 1633.41 98.519842 45.1106 0.175819 4.43694 0.146576 0.375823 7.8765 38.1293 3.53495 0.208525 0.00299704 0.000786032 0.00114629
35472.70 1633.10 98.504342 45.1106 0.175694 4.43456 0.147703 0.375981 7.87613 38.1338 3.53413 0.207719 0.00237821 0.000367573 0.000909603
35178.50 1632.80 98.488193 45.1105 0.175561 4.43206 0.148857 0.376147 7.87575 38.1385 3.53335 0.206884 0.00172215 0 0.000658679
34884.30 1632.49 98.472665 45.1099 0.175433 4.4294 0.150045 0.376322 7.87534 38.1431 3.53292 0.206076 0.00102955 0 0.000393778
34590.20 1632.19 98.456237 45.1093 0.175296 4.42663 0.151258 0.376504 7.87491 38.148 3.53247 0.205229 0.00029554 0 0.000113037
34296.10 1631.89 98.443126 45.1088 0.175256 4.42409 0.152568 0.376633 7.87429 38.1518 3.53198 0.204636 0 0 0
34001.90 1631.58 98.432210 45.1082 0.175281 4.42169 0.153952 0.376727 7.87354 38.1549 3.53145 0.204213 0 0 0
33707.80 1631.28 98.420744 45.1076 0.175304 4.4192 0.155372 0.376826 7.87275 38.1582 3.53091 0.203773 0 0 0
33413.80 1630.97 98.408903 45.1071 0.175329 4.41662 0.156824 0.376929 7.87194 38.1616 3.53035 0.203327 0 0 0
33119.70 1630.67 98.396465 45.1065 0.175351 4.41393 0.158315 0.377037 7.87108 38.1652 3.52976 0.202863 0 0 0
32825.60 1630.37 98.383513 45.1059 0.175374 4.41114 0.159844 0.37715 7.87019 38.1689 3.52916 0.202387 0 0 0
32531.60 1630.06 98.370132 45.1053 0.175399 4.40824 0.161411 0.377267 7.86927 38.1727 3.52854 0.201903 0 0 0
32237.60 1629.76 98.356095 45.1047 0.175421 4.40523 0.163021 0.377391 7.8683 38.1767 3.52788 0.201402 0 0 0
31943.60 1629.45 98.341583 45.104 0.175445 4.4021 0.164672 0.377519 7.86731 38.1808 3.52721 0.200892 0 0 0
31649.60 1629.15 98.326367 45.1034 0.175466 4.39886 0.16637 0.377654 7.86626 38.1851 3.52651 0.200363 0 0 0
31355.60 1628.85 98.310525 45.1028 0.175487 4.39549 0.168115 0.377796 7.86517 38.1896 3.52578 0.199821 0 0 0
31061.70 1628.54 98.294144 45.1021 0.17551 4.392 0.169907 0.377944 7.86405 38.1942 3.52502 0.199271 0 0 0
30767.80 1628.24 98.276976 45.1015 0.175531 4.38837 0.171753 0.378099 7.86286 38.199 3.52422 0.198701 0 0 0
30473.90 1627.93 98.259210 45.1008 0.175553 4.38461 0.173651 0.378261 7.86164 38.204 3.5234 0.198122 0 0 0
30180.00 1627.63 98.240594 45.1001 0.175572 4.3807 0.175609 0.378431 7.86035 38.2092 3.52253 0.197523 0 0 0
29886.10 1627.33 98.221204 45.0994 0.175591 4.37665 0.177627 0.37861 7.85901 38.2146 3.52163 0.196909 0 0 0
29592.20 1627.02 98.201124 45.0986 0.175611 4.37245 0.179706 0.378797 7.85762 38.2202 3.52068 0.196285 0 0 0
29298.40 1626.72 98.180092 45.0979 0.175629 4.36808 0.181853 0.378993 7.85616 38.226 3.51969 0.195642 0 0 0
29004.50 1626.41 98.158288 45.0971 0.175647 4.36355 0.184071 0.379198 7.85464 38.2321 3.51866 0.194988 0 0 0
28710.70 1626.11 98.135450 45.0963 0.175664 4.35885 0.186364 0.379414 7.85304 38.2384 3.51757 0.194313 0 0 0
28416.90 1625.81 98.111642 45.0955 0.175679 4.35397 0.188738 0.37964 7.85136 38.245 3.51643 0.193623 0 0 0
28123.10 1625.50 98.086946 45.0947 0.175696 4.3489 0.191194 0.379877 7.84962 38.2518 3.51524 0.192923 0 0 0
27829.40 1625.20 98.061068 45.0939 0.175711 4.34364 0.193741 0.380126 7.84778 38.259 3.51398 0.192202 0 0 0
27535.60 1624.90 98.034059 45.093 0.175724 4.33816 0.196386 0.380387 7.84585 38.2664 3.51265 0.191464 0 0 0
27241.90 1624.59 98.006020 45.0921 0.175739 4.33249 0.199129 0.380661 7.84383 38.2741 3.51126 0.190717 0 0 0
26948.20 1624.29 97.976610 45.0911 0.175751 4.32658 0.201986 0.380949 7.8417 38.2822 3.50979 0.189948 0 0 0
26654.50 1623.99 97.945897 45.0902 0.175763 4.32044 0.20496 0.38125 7.83945 38.2906 3.50824 0.189164 0 0 0
26360.80 1623.68 97.913954 45.0892 0.175776 4.31406 0.208059 0.381567 7.83709 38.2993 3.5066 0.18837 0 0 0
26067.20 1623.38 97.880434 45.0881 0.175787 4.30741 0.211296 0.381898 7.83458 38.3085 3.50487 0.187556 0 0 0
25773.50 1623.08 97.845371 45.0871 0.175798 4.30049 0.214683 0.382247 7.83194 38.318 3.50304 0.186727 0 0 0
25479.90 1622.77 97.808861 45.086 0.17581 4.29329 0.218225 0.382611 7.82914 38.328 3.5011 0.185889 0 0 0
25186.30 1622.47 97.770489 45.0848 0.175821 4.28578 0.221944 0.382994 7.82617 38.3384 3.49904 0.185032 0 0 0
24892.70 1622.17 97.730306 45.0837 0.175832 4.27796 0.225853 0.383395 7.823 38.3493 3.49686 0.184162 0 0 0
24599.10 1621.86 97.688374 45.0824 0.175845 4.26981 0.229965 0.383814 7.81965 38.3607 3.49454 0.183286 0 0 0
24305.60 1621.56 97.644258 45.0812 0.175858 4.26129 0.234307 0.384254 7.81605 38.3726 3.49208 0.182394 0 0 0
24012.00 1621.25 97.598143 45.0799 0.175874 4.2524 0.238896 0.384715 7.81222 38.385 3.48946 0.181498 0 0 0
23718.50 1620.95 97.549573 45.0786 0.17589 4.24311 0.243763 0.385197 7.8081 38.3981 3.48666 0.180589 0 0 0
23425.00 1620.65 97.498558 45.0772 0.175909 4.23339 0.248937 0.385701 7.80366 38.4119 3.48367 0.179676 0 0 0
23131.50 1620.34 97.445137 45.0757 0.175933 4.22323 0.254447 0.386227 7.7989 38.4263 3.48049 0.178765 0 0 0
22838.00 1620.04 97.388749 45.0743 0.17596 4.21258 0.260344 0.386778 7.79373 38.4414 3.47707 0.17785 0 0 0
22544.60 1619.74 97.329423 45.0728 0.175993 4.20142 0.266669 0.387353 7.78813 38.4573 3.47341 0.176939 0 0 0
22251.10 1619.44 97.266913 45.0712 0.176033 4.18971 0.273482 0.387953 7.78203 38.4741 3.46949 0.176039 0 0 0
21957.70 1619.13 97.201280 45.0696 0.176085 4.17744 0.280843 0.388577 7.77538 38.4916 3.46529 0.175161 0 0 0
21664.30 1618.83 97.131821 45.0679 0.176146 4.16453 0.288846 0.389228 7.76805 38.5102 3.46077 0.1743 0 0 0
21370.90 1618.53 97.058510 45.0662 0.176223 4.15096 0.297585 0.389904 7.75997 38.5298 3.45589 0.173474 0 0 0
21077.50 1618.22 96.981340 45.0645 0.17632 4.1367 0.307177 0.390606 7.75102 38.5504 3.45065 0.172698 0 0 0
20784.20 1617.92 96.899562 45.0627 0.176437 4.12167 0.317783 0.391335 7.74102 38.5721 3.44497 0.171977 0 0 0
20490.80 1617.62 96.813073 45.0608 0.176584 4.10583 0.329597 0.392091 7.72976 38.5951 3.43882 0.171336 0 0 0
20197.50 1617.31 96.721936 45.0589 0.176769 4.08917 0.342845 0.39287 7.71704 38.6194 3.43218 0.170805 0 0 0
19904.20 1617.01 96.625254 45.057 0.176997 4.07157 0.357867 0.393675 7.70248 38.6451 3.42496 0.170404 0 0 0
19610.90 1616.71 96.523030 45.055 0.177282 4.05303 0.375074 0.394503 7.68567 38.6722 3.4171 0.170179 0 0 0
19317.60 1616.40 96.416942 45.0513 0.17696 4.03646 0.384037 0.395083 7.67739 38.7008 3.40958 0.168344 0 0 0
19024.40 1616.10 96.305588 45.0461 0.176057 4.02138 0.384693 0.395468 7.67769 38.7313 3.40229 0.164996 0 0 0
18731.20 1615.80 96.187400 45.0406 0.175097 4.00537 0.385255 0.395878 7.67809 38.7637 3.39441 0.161566 0 0 0
18437.90 1615.50 96.061745 45.0347 0.174073 3.98837 0.385718 0.396317 7.67861 38.7983 3.38588 0.158052 0 0 0
18144.70 1615.19 95.928471 45.0285 0.172986 3.97033 0.38607 0.396784 7.67927 38.835 3.37667 0.154462 0 0 0
17851.60 1614.89 95.786073 45.0218 0.17182 3.95107 0.386302 0.397286 7.68004 38.8742 3.36664 0.150779 0 0 0
17558.40 1614.59 95.634021 45.0147 0.170573 3.93051 0.386401 0.397823 7.68096 38.9163 3.35572 0.147006 0 0 0
17265.20 1614.28 95.471933 45.0072 0.169241 3.90858 0.386357 0.3984 7.68206 38.9612 3.34386 0.143152 0 0 0
16972.10 1613.98 95.297941 44.9991 0.167807 3.88505 0.386151 0.399021 7.68332 39.0095 3.33087 0.139199 0 0 0
16679.00 1613.68 95.111289 44.9904 0.166266 3.85979 0.38577 0.39969 7.68479 39.0615 3.31665 0.135152 0 0 0
16385.90 1613.38 94.910689 44.981 0.164608 3.83264 0.385193 0.400412 7.68647 39.1176 3.30105 0.13101 0 0 0
16092.80 1613.07 94.695274 44.971 0.162825 3.80343 0.384403 0.401192 7.68842 39.178 3.28395 0.126781 0 0 0
15799.70 1612.77 94.462245 44.9601 0.160893 3.77183 0.383372 0.402039 7.69063 39.2437 3.26505 0.122444 0 0 0
15506.70 1612.47 94.210379 44.9483 0.158804 3.73762 0.382074 0.402958 7.69316 39.3149 3.24418 0.11801 0 0 0
15213.70 1612.16 93.938179 44.9354 0.156547 3.70057 0.380483 0.403956 7.69607 39.3923 3.22112 0.113484 0 0 0
14920.70 1611.86 93.641825 44.9214 0.154091 3.66018 0.378556 0.405047 7.69938 39.477 3.19545 0.108846 0 0 0
14627.70 1611.56 93.319212 44.906 0.151421 3.61611 0.376257 0.40624 7.70317 39.5698 3.16685 0.104106 0 0 0
14334.70 1611.26 92.967165 44.8891 0.148514 3.56788 0.373538 0.407548 7.70751 39.6718 3.1349 0.0992629 0 0 0
14041.70 1610.95 92.583017 44.8703 0.145353 3.51508 0.370356 0.408982 7.71252 39.7839 3.09919 0.0943264 0 0 0
13748.80 1610.65 92.160941 44.8494 0.141895 3.45687 0.366637 0.410563 7.71828 39.9081 3.05897 0.0892794 0 0 0
13455.90 1610.35 91.696974 44.826 0.138116 3.39263 0.362316 0.41231 7.72495 40.0459 3.01361 0.0841318 0 0 0
13162.90 1610.05 91.185568 44.7996 0.133982 3.3215 0.357313 0.414242 7.7327 40.1995 2.96228 0.0788849 0 0 0
12870.10 1609.74 90.622618 44.7696 0.129475 3.24277 0.351557 0.416378 7.74177 40.3706 2.90422 0.0735597 0 0 0
12577.20 1609.44 89.998281 44.7354 0.12453 3.155 0.344918 0.418754 7.75238 40.5629 2.83797 0.0681372 0 0 0
12284.30 1609.14 89.306653 44.6959 0.119126 3.05718 0.337298 0.421396 7.76489 40.7792 2.76236 0.0626403 0 0 0
11991.50 1608.84 88.540248 44.6501 0.113233 2.9481 0.328581 0.424329 7.77968 41.023 2.67594 0.0570866 0 0 0
11698.70 1608.53 87.692841 44.5966 0.106838 2.82666 0.318663 0.427578 7.79725 41.2977 2.5772 0.0515056 0 0 0
11405.90 1608.23 86.753447 44.5335 0.0999011 2.69122 0.307388 0.43118 7.81814 41.6089 2.46388 0.0459046 0 0 0
11113.10 1607.93 85.717828 44.4589 0.0924439 2.54105 0.294676 0.435144 7.84301 41.9602 2.33428 0.0403316 0 0 0
10820.30 1607.63 84.582703 44.3701 0.0845044 2.37571 0.280469 0.439472 7.87254 42.3558 2.18658 0.0348339 0 0 0
10527.50 1607.32 83.351535 44.2646 0.0761765 2.19596 0.264805 0.444135 7.9074 42.7978 2.01963 0.0294788 0 0 0
10234.80 1607.02 82.026335 44.1391 0.0675523 2.0028 0.247728 0.449106 7.94822 43.2893 1.83191 0.0243136 0 0 0
9942.09 1606.72 80.621701 43.9907 0.0588138 1.79944 0.229467 0.454309 7.99541 43.8289 1.62359 0.0194147 0 0 0
9649.39 1606.42 79.155903 43.8166 0.0501644 1.59019 0.21033 0.459664 8.04908 44.4136 1.39558 0.0148467 0 0 0
9356.70 1606.11 77.653123 43.6148 0.0418335 1.38058 0.190734 0.465087 8.10903 45.0372 1.15008 0.0106684 0 0 0
9064.04 1605.81 76.128497 43.3831 0.0339877 1.1753 0.171011 0.470551 8.17487 45.696 0.888309 0.00689667 0 0 0
8771.39 1605.51 75.000872 43.1534 0.0291427 1.02842 0.1572 0.474146 8.22572 46.1816 0.745426 0.00493154 0 0 0
8478.75 1605.21 74.154605 42.9258 0.0262226 0.921608 0.147481 0.476333 8.2644 46.5338 0.700293 0.00414245 0 0 0
8186.14 1604.91 73.281454 42.6759 0.0233266 0.816284 0.137466 0.478556 8.30576 46.9037 0.655589 0.003406 0 0 0
7893.54 1604.60 72.381979 42.4021 0.0204841 0.713287 0.127207 0.480836 8.34996 47.2923 0.611153 0.00272139 0 0 0
7600.96 1604.30 71.451623 42.1015 0.0177131 0.613043 0.116714 0.483211 8.3971 47.702 0.566638 0.00208528 0 0 0
7308.40 1604.00 70.489969 41.7718 0.0150424 0.516291 0.106035 0.485717 8.44737 48.1344 0.521839 0.00149666 0 0 0
7015.85 1603.70 69.494223 41.41 0.0124942 0.423527 0.0951991 0.488402 8.50098 48.592 0.476465 0.000953494 0 0 0
6723.33 1603.40 68.460765 41.0125 0.0100872 0.335124 0.0842272 0.49132 8.5582 49.0779 0.430201 0.000453619 0 0 0
6430.81 1603.09 67.397273 40.5806 0.0078626 0.25223 0.0732718 0.494478 8.61844 49.5898 0.383311 0 0 0 0
6138.32 1602.79 67.269517 40.5886 0.00788844 0.247077 0.0740232 0.493141 8.5918 49.6109 0.386603 0 0 0 0
5845.85 1602.49 67.138512 40.5967 0.00791253 0.241981 0.074776 0.491744 8.56444 49.6325 0.389913 0 0 0 0
5553.39 1602.19 67.004156 40.6049 0.00793475 0.236942 0.0755294 0.490283 8.53634 49.6548 0.393242 0 0 0 0
5260.95 1601.88 66.867143 40.6133 0.00795532 0.231968 0.0762831 0.488758 8.50758 49.6776 0.396587 0 0 0 0
4968.52 1601.58 66.725797 40.6218 0.00797349 0.227043 0.0770349 0.487161 8.47794 49.7011 0.399954 0 0 0 0
4676.12 1601.28 66.580802 40.6305 0.00798947 0.222174 0.0777842 0.485491 8.44749 49.7252 0.403339 0 0 0 0
4383.73 1600.98 66.432033 40.6394 0.00800312 0.217361 0.07853 0.483744 8.41622 49.75 0.406743 0 0 0 0
4091.36 1600.68 66.279385 40.6484 0.00801434 0.212602 0.079271 0.481916 8.38412 49.7755 0.410165 0 0 0 0
3799.00 1600.38 66.122732 40.6576 0.00802298 0.207899 0.080006 0.480002 8.35114 49.8017 0.413606 0 0 0 0
3506.67 1600.07 65.962829 40.667 0.00802931 0.203256 0.0807347 0.478005 8.31742 49.8285 0.417062 0 0 0 0
3214.35 1599.77 65.797827 40.6765 0.00803241 0.198659 0.081453 0.475909 8.28266 49.8562 0.42054 0 0 0 0
2922.05 1599.47 65.628452 40.6863 0.00803254 0.194114 0.0821605 0.473714 8.24698 49.8846 0.424037 0 0 0 0
2629.76 1599.17 65.454565 40.6963 0.00802953 0.18962 0.0828552 0.471415 8.21035 49.9138 0.427552 0 0 0 0
2337.50 1598.87 65.276043 40.7065 0.00802324 0.185176 0.0835352 0.469006 8.17276 49.9439 0.431085 0 0 0 0
2045.25 1598.56 65.093664 40.717 0.00801396 0.180788 0.0842003 0.466489 8.1343 49.9746 0.434634 0 0 0 0
1753.02 1598.26 64.905439 40.7276 0.00800064 0.176441 0.0848443 0.463844 8.0947 50.0063 0.438205 0 0 0 0
1460.80 1597.96 64.712128 40.7386 0.00798353 0.17214 0.0854666 0.46107 8.05407 50.0389 0.441794 0 0 0 0
1168.61 1597.66 64.513594 40.7498 0.00796248 0.167884 0.0860645 0.458161 8.01238 50.0724 0.445401 0 0 0 0
