Title: Temperature in Celsius

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
500.00 1421.32 100.350000 48.5102 1.00648 17.5785 0.886896 0.0298954 7.56353 9.06826 12.4066 2.64076 0.0298954 0.079721 0.199302
1500.00 1427.48 85.253314 49.1782 1.1847 18.0915 1.04395 0.0351892 7.48515 6.40696 13.3763 2.83553 0.0341306 0.093838 0.234595
2500.00 1433.25 83.508216 49.1828 1.20946 17.9185 1.06576 0.0359246 7.5897 6.38778 13.4064 2.83384 0.0345929 0.095799 0.239497
3500.00 1446.70 82.015842 49.1842 1.23147 17.773 1.08516 0.0365783 7.67943 6.36381 13.4391 2.83081 0.0349849 0.0975421 0.243855
4500.00 1457.79 78.446603 49.1474 1.24531 18.1431 1.09042 0.0382426 7.85641 6.04556 13.1154 2.92474 0.0364895 0.10198 0.25495
5500.00 1468.44 75.833468 49.1338 1.25314 18.4345 1.0911 0.0395604 7.98921 5.79493 12.857 2.99979 0.0376916 0.105494 0.263736
6500.00 1479.21 73.556967 49.1422 1.25483 18.7539 1.0855 0.0407847 8.09569 5.53218 12.5981 3.07725 0.0388581 0.108759 0.271898
7500.00 1489.99 71.329103 49.2025 1.2551 19.0314 1.0742 0.033639 8.19668 5.26915 12.3486 3.15614 0.0400718 0.112156 0.28039
8500.00 1500.74 69.194418 49.2858 1.25415 19.2838 1.05986 0.025884 8.2943 5.01381 12.102 3.23441 0.0413081 0.115616 0.289041
9500.00 1511.46 67.163608 49.3806 1.25224 19.5187 1.04342 0.0196402 8.38959 4.76915 11.8561 3.31112 0.0425571 0.119112 0.29778
10500.00 1522.15 65.231417 49.4854 1.24973 19.7367 1.02498 0.014717 8.48276 4.5353 11.6112 3.38605 0.0438177 0.12264 0.306601
11500.00 1532.80 63.392729 49.5991 1.24698 19.9386 1.00465 0.0109109 8.57402 4.31227 11.3677 3.45896 0.0450886 0.126197 0.315494
12500.00 1543.42 61.642607 49.7206 1.24431 20.1247 0.982567 0.00802352 8.6636 4.10001 11.126 3.52964 0.0463687 0.12978 0.324451
13500.00 1554.01 59.976338 49.8489 1.24202 20.2955 0.95886 0.00587297 8.75171 3.89841 10.8863 3.59786 0.0476569 0.133386 0.333465
14500.00 1567.29 58.389482 49.9832 1.24034 20.4513 0.933682 0.00429966 8.83859 3.70727 10.6493 3.66346 0.0489521 0.137011 0.342527
15500.00 1580.50 56.451803 50.2994 1.28291 20.3617 0.96573 0.00444724 8.68041 3.41051 10.659 3.78921 0.0506323 0.141714 0.354285
16500.00 1593.27 54.638432 50.6174 1.32549 20.2731 0.997781 0.00459484 8.52073 3.12367 10.6575 3.91497 0.0523128 0.146417 0.366043
17500.00 1605.63 52.998292 50.9253 1.36651 20.1886 1.02866 0.00473704 8.36542 2.85655 10.6459 4.03612 0.0539317 0.150948 0.377371
18500.00 1617.59 51.510501 51.223 1.40598 20.1081 1.05837 0.00487386 8.21451 2.60808 10.6253 4.1527 0.0554894 0.155308 0.38827
19500.00 1629.19 50.157374 51.5105 1.44391 20.0315 1.08692 0.00500534 8.06805 2.37725 10.5969 4.26473 0.0569864 0.159498 0.398745
20500.00 1640.43 48.923838 51.7877 1.48032 19.9587 1.11433 0.00513155 7.92603 2.16308 10.5617 4.37226 0.0584232 0.163519 0.408799
21500.00 1651.33 47.796959 52.0547 1.51522 19.8896 1.1406 0.00525253 7.78848 1.96464 10.5205 4.47534 0.0598006 0.167375 0.418437
22500.00 1661.92 46.765584 52.3114 1.54864 19.8241 1.16575 0.00536837 7.65538 1.78105 10.4744 4.57404 0.0611195 0.171066 0.427665
23500.00 1672.20 45.820035 52.558 1.58059 19.762 1.18981 0.00547915 7.52673 1.61145 10.424 4.66843 0.0623807 0.174596 0.43649
24500.00 1682.20 44.951876 52.7945 1.61112 19.7033 1.21279 0.00558497 7.40249 1.45501 10.3701 4.75859 0.0635855 0.177968 0.44492
25500.00 1691.92 44.153718 53.0211 1.64024 19.6478 1.23471 0.00568593 7.28264 1.31095 10.3133 4.84461 0.0647349 0.181185 0.452963
26500.00 1701.39 43.419061 53.2379 1.668 19.5954 1.25561 0.00578214 7.16713 1.17853 10.2543 4.92658 0.0658302 0.184251 0.460627
27500.00 1710.60 42.742162 53.4451 1.69441 19.5461 1.27549 0.00587371 7.05592 1.05701 10.1936 5.00461 0.0668728 0.187169 0.467922
28500.00 1719.58 42.117925 53.6428 1.71953 19.4995 1.29439 0.00596076 6.94895 0.945717 10.1316 5.07878 0.0678639 0.189943 0.474857
29500.00 1728.34 41.541814 53.8313 1.74337 19.4558 1.31235 0.00604343 6.84617 0.843981 10.069 5.14921 0.0688051 0.192577 0.481443
30500.00 1736.90 41.009778 54.0108 1.76599 19.4146 1.32937 0.00612183 6.74751 0.751174 10.006 5.21602 0.0696977 0.195075 0.487689
