Title: Temperature in Celsius

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
500.00 1421.32 85.251314 49.1783 1.18473 18.0916 1.04397 0.0351901 7.48515 6.40659 13.3764 2.83556 0.0341313 0.0938402 0.2346
1500.00 1427.48 83.506216 49.1829 1.20949 17.9185 1.06579 0.0359255 7.5897 6.3874 13.4065 2.83387 0.0345936 0.0958012 0.239503
2500.00 1433.25 82.013842 49.1843 1.2315 17.7731 1.08518 0.0365792 7.67943 6.36343 13.4393 2.83083 0.0349856 0.0975445 0.243861
3500.00 1446.70 78.444603 49.1474 1.24533 18.1431 1.09044 0.0382435 7.85655 6.04552 13.1153 2.92476 0.0364902 0.101983 0.254957
4500.00 1457.79 75.831468 49.1338 1.25316 18.4345 1.09112 0.0395614 7.98936 5.79489 12.8568 2.99981 0.0376924 0.105497 0.263743
5500.00 1468.44 73.555967 49.1422 1.25483 18.7541 1.0855 0.0407853 8.09574 5.53206 12.598 3.07728 0.0388587 0.108761 0.271902
6500.00 1479.21 71.327103 49.2032 1.25511 19.031 1.07414 0.0334847 8.19667 5.26884 12.3486 3.15622 0.040073 0.112159 0.280398
7500.00 1489.99 69.192418 49.2866 1.25416 19.2834 1.0598 0.0257471 8.29428 5.01349 12.102 3.23449 0.0413093 0.11562 0.289049
8500.00 1500.74 67.161608 49.3813 1.25225 19.5183 1.04336 0.0195193 8.38957 4.76883 11.8562 3.31121 0.0425584 0.119116 0.297789
9500.00 1511.46 65.229417 49.4862 1.24974 19.7363 1.02492 0.0146104 8.48273 4.53497 11.6113 3.38614 0.043819 0.122644 0.30661
10500.00 1522.15 63.390729 49.6 1.24699 19.9381 1.00459 0.0108171 8.57398 4.31194 11.3678 3.45906 0.04509 0.126201 0.315504
11500.00 1532.80 61.640607 49.7215 1.24432 20.1242 0.982502 0.00794117 8.66355 4.09968 11.126 3.52973 0.0463702 0.129785 0.324461
12500.00 1543.42 59.974338 49.8498 1.24203 20.295 0.958793 0.00580064 8.75165 3.89806 10.8864 3.59797 0.0476585 0.13339 0.333476
