Title: Temperature in Celsius

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 clinopyroxene_0 feldspar_0 corundum spinel_0 
500.00 1421.32 100.350000 85.251314 8.123276 0.000000 0.000000 6.975410 0.000000 0.000000 
1500.00 1427.48 85.253314 83.506216 0.287564 0.000000 0.000000 1.459535 0.000000 0.000000 
2500.00 1433.25 83.508216 82.013842 0.259753 0.000000 0.000000 1.234621 0.000000 0.000000 
3500.00 1446.70 82.015842 78.444603 0.000000 0.000000 3.147223 0.424016 0.000000 0.000000 
4500.00 1457.79 78.446603 75.831468 0.000000 0.000000 2.362890 0.252245 0.000000 0.000000 
5500.00 1468.44 75.833468 73.555967 0.000000 0.000000 2.277501 0.000000 0.000000 0.000000 
6500.00 1479.21 73.556967 71.327103 0.000000 0.000000 2.174633 0.000000 0.000000 0.055231 
7500.00 1489.99 71.329103 69.192418 0.000000 0.000000 2.071784 0.000000 0.000000 0.064901 
8500.00 1500.74 69.194418 67.161608 0.000000 0.000000 1.974009 0.000000 0.000000 0.058801 
9500.00 1511.46 67.163608 65.229417 0.000000 0.000000 1.881784 0.000000 0.000000 0.052408 
10500.00 1522.15 65.231417 63.390729 0.000000 0.000000 1.794713 0.000000 0.000000 0.045975 
11500.00 1532.80 63.392729 61.640607 0.000000 0.000000 1.712423 0.000000 0.000000 0.039700 
12500.00 1543.42 61.642607 59.974338 0.000000 0.000000 1.634543 0.000000 0.000000 0.033726 
13500.00 1554.01 59.976338 58.387482 0.000000 0.000000 1.560702 0.000000 0.000000 0.028154 
14500.00 1567.29 58.389482 56.450803 0.000000 1.938679 0.000000 0.000000 0.000000 0.000000 
15500.00 1580.50 56.451803 54.637432 0.000000 1.814371 0.000000 0.000000 0.000000 0.000000 
16500.00 1593.27 54.638432 52.997292 0.000000 1.641140 0.000000 0.000000 0.000000 0.000000 
17500.00 1605.63 52.998292 51.509501 0.000000 1.488791 0.000000 0.000000 0.000000 0.000000 
18500.00 1617.59 51.510501 50.156374 0.000000 1.354127 0.000000 0.000000 0.000000 0.000000 
19500.00 1629.19 50.157374 48.922838 0.000000 1.234537 0.000000 0.000000 0.000000 0.000000 
20500.00 1640.43 48.923838 47.795959 0.000000 1.127878 0.000000 0.000000 0.000000 0.000000 
21500.00 1651.33 47.796959 46.764584 0.000000 1.032375 0.000000 0.000000 0.000000 0.000000 
22500.00 1661.92 46.765584 45.819035 0.000000 0.946549 0.000000 0.000000 0.000000 0.000000 
23500.00 1672.20 45.820035 44.950876 0.000000 0.869159 0.000000 0.000000 0.000000 0.000000 
24500.00 1682.20 44.951876 44.152718 0.000000 0.799157 0.000000 0.000000 0.000000 0.000000 
25500.00 1691.92 44.153718 43.418061 0.000000 0.735657 0.000000 0.000000 0.000000 0.000000 
26500.00 1701.39 43.419061 42.741162 0.000000 0.677900 0.000000 0.000000 0.000000 0.000000 
27500.00 1710.60 42.742162 42.116925 0.000000 0.625237 0.000000 0.000000 0.000000 0.000000 
28500.00 1719.58 42.117925 41.540814 0.000000 0.577110 0.000000 0.000000 0.000000 0.000000 
29500.00 1728.34 41.541814 41.008778 0.000000 0.533036 0.000000 0.000000 0.000000 0.000000 
30500.00 1736.90 41.009778 40.517183 0.000000 0.492596 0.000000 0.000000 0.000000 0.000000 
31500.00 1746.18 40.518183 39.934282 0.000000 0.267516 0.316386 0.000000 0.000000 0.000000 
32500.00 1755.80 39.936282 39.321829 0.000000 0.151717 0.462736 0.000000 0.000000 0.000000 
33500.00 1765.36 39.323829 38.733512 0.000000 0.121132 0.469185 0.000000 0.000000 0.000000 
34500.00 1774.84 38.735512 38.167270 0.000000 0.092845 0.462387 0.000000 0.013009 0.000000 
35500.00 1784.04 38.170270 37.620967 0.000000 0.064631 0.410674 0.000000 0.073998 0.000000 
36500.00 1793.15 37.623967 37.099398 0.000000 0.051763 0.400224 0.000000 0.072583 0.000000 
37500.00 1802.17 37.102398 36.601034 0.000000 0.040513 0.389568 0.000000 0.071283 0.000000 
38500.00 1811.10 36.604034 36.124476 0.000000 0.030679 0.378781 0.000000 0.070098 0.000000 
39500.00 1819.96 36.127476 35.668442 0.000000 0.022086 0.367923 0.000000 0.069025 0.000000 
