Title: Temperature in Celsius

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 garnet_0 clinopyroxene_0 feldspar_0 corundum spinel_0 
500.00 1421.32 100.350000 37.007957 31.896276 2.486000 0.000000 0.000000 2.625682 0.000000 0.000000 
1500.00 1427.48 85.253314 31.706099 31.068984 0.087878 0.000000 0.000000 0.549238 0.000000 0.000000 
2500.00 1433.25 83.508216 30.894499 30.350813 0.079269 0.000000 0.000000 0.464417 0.000000 0.000000 
3500.00 1446.70 82.015842 30.060977 28.929061 0.000000 0.000000 0.972575 0.159341 0.000000 0.000000 
4500.00 1457.79 78.446603 28.687338 27.864082 0.000000 0.000000 0.728555 0.094702 0.000000 0.000000 
5500.00 1468.44 75.833468 27.637807 26.937216 0.000000 0.000000 0.700592 0.000000 0.000000 0.000000 
6500.00 1479.21 73.556967 26.722029 26.040214 0.000000 0.000000 0.667449 0.000000 0.000000 0.014366 
7500.00 1489.99 71.329103 25.837494 25.186067 0.000000 0.000000 0.634498 0.000000 0.000000 0.016929 
8500.00 1500.74 69.194418 24.995102 24.376456 0.000000 0.000000 0.603278 0.000000 0.000000 0.015368 
9500.00 1511.46 67.163608 24.196391 23.608755 0.000000 0.000000 0.573923 0.000000 0.000000 0.013713 
10500.00 1522.15 65.231417 23.438811 22.880478 0.000000 0.000000 0.546296 0.000000 0.000000 0.012037 
11500.00 1532.80 63.392729 22.719943 22.189278 0.000000 0.000000 0.520271 0.000000 0.000000 0.010394 
12500.00 1543.42 61.642607 22.037499 21.532953 0.000000 0.000000 0.495720 0.000000 0.000000 0.008826 
13500.00 1554.01 59.976338 21.389338 20.909459 0.000000 0.000000 0.472518 0.000000 0.000000 0.007361 
14500.00 1567.29 58.389482 20.723713 20.195519 0.000000 0.528194 0.000000 0.000000 0.000000 0.000000 
15500.00 1580.50 56.451803 20.022370 19.528200 0.000000 0.494170 0.000000 0.000000 0.000000 0.000000 
16500.00 1593.27 54.638432 19.369854 18.923018 0.000000 0.446836 0.000000 0.000000 0.000000 0.000000 
17500.00 1605.63 52.998292 18.777679 18.372470 0.000000 0.405208 0.000000 0.000000 0.000000 0.000000 
18500.00 1617.59 51.510501 18.238619 17.870206 0.000000 0.368414 0.000000 0.000000 0.000000 0.000000 
19500.00 1629.19 50.157374 17.746550 17.410810 0.000000 0.335740 0.000000 0.000000 0.000000 0.000000 
20500.00 1640.43 48.923838 17.296241 16.989641 0.000000 0.306601 0.000000 0.000000 0.000000 0.000000 
21500.00 1651.33 47.796959 16.883203 16.602691 0.000000 0.280512 0.000000 0.000000 0.000000 0.000000 
22500.00 1661.92 46.765584 16.503557 16.246488 0.000000 0.257069 0.000000 0.000000 0.000000 0.000000 
23500.00 1672.20 45.820035 16.153935 15.918002 0.000000 0.235933 0.000000 0.000000 0.000000 0.000000 
24500.00 1682.20 44.951876 15.831400 15.614581 0.000000 0.216819 0.000000 0.000000 0.000000 0.000000 
25500.00 1691.92 44.153718 15.533375 15.333893 0.000000 0.199482 0.000000 0.000000 0.000000 0.000000 
26500.00 1701.39 43.419061 15.257593 15.073876 0.000000 0.183717 0.000000 0.000000 0.000000 0.000000 
27500.00 1710.60 42.742162 15.002049 14.832703 0.000000 0.169346 0.000000 0.000000 0.000000 0.000000 
28500.00 1719.58 42.117925 14.764964 14.608747 0.000000 0.156217 0.000000 0.000000 0.000000 0.000000 
29500.00 1728.34 41.541814 14.544751 14.400555 0.000000 0.144196 0.000000 0.000000 0.000000 0.000000 
30500.00 1736.90 41.009778 14.339996 14.206826 0.000000 0.133170 0.000000 0.000000 0.000000 0.000000 
31500.00 1746.18 40.518183 14.147033 13.981527 0.000000 0.072261 0.093246 0.000000 0.000000 0.000000 
32500.00 1755.80 39.936282 13.923696 13.746446 0.000000 0.040944 0.136305 0.000000 0.000000 0.000000 
33500.00 1765.36 39.323829 13.691177 13.520374 0.000000 0.032660 0.138142 0.000000 0.000000 0.000000 
34500.00 1774.84 38.735512 13.467133 13.302677 0.000000 0.025010 0.136088 0.000000 0.003358 0.000000 
35500.00 1784.04 38.170270 13.250277 13.092956 0.000000 0.017396 0.120823 0.000000 0.019102 0.000000 
36500.00 1793.15 37.623967 13.042754 12.892388 0.000000 0.013922 0.117708 0.000000 0.018736 0.000000 
37500.00 1802.17 37.102398 12.844242 12.700415 0.000000 0.010888 0.114539 0.000000 0.018400 0.000000 
38500.00 1811.10 36.604034 12.654195 12.516527 0.000000 0.008239 0.111337 0.000000 0.018093 0.000000 
39500.00 1819.96 36.127476 12.472116 12.340256 0.000000 0.005927 0.108118 0.000000 0.017815 0.000000 
