Title: Temperature in Celsius

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
500.00 1421.32 15.098686 44.7382 2.20314e-14 14.6814 1.17699e-12 1.36426e-16 8.00609 24.0968 6.93064 1.54085 0.00597832 6.62526e-15 0
1500.00 1427.48 1.747099 48.9543 0 26.3596 0 0 2.48776 7.34204 11.9294 2.91497 0.0120013 -8.80869e-16 0
2500.00 1433.25 1.494373 49.0996 0 25.8977 0 0 2.66492 7.7243 11.6012 2.99917 0.0130434 -2.05968e-15 0
3500.00 1446.70 3.571239 49.993 0.927076 9.6449 0.969193 0 3.78886 13.3553 20.5527 0.76697 0.00192129 4.30933e-15 0
4500.00 1457.79 2.615135 49.5412 1.01757 9.693 1.07031 0 4.00105 13.3143 20.6131 0.747849 0.00160719 2.35394e-15 0
5500.00 1468.44 2.277501 48.8628 1.19867 8.11393 1.27199 0 4.54878 14.2848 21.222 0.497032 0 2.7029e-15 0
6500.00 1479.21 2.229864 47.1909 1.24604 9.89039 1.44895 0.274292 4.86552 13.9555 20.5775 0.55092 -2.29017e-16 0 0
7500.00 1489.99 2.136685 46.4813 1.28561 10.8684 1.54058 0.289202 5.03625 13.548 20.3316 0.618978 4.78009e-16 0 0
8500.00 1500.74 2.032810 46.1307 1.31696 11.5358 1.60512 0.236167 5.14669 13.1076 20.224 0.696884 2.51218e-16 0 0
9500.00 1511.46 1.934192 45.8183 1.33649 12.179 1.66744 0.189269 5.24847 12.6668 20.1132 0.781131 -2.64026e-16 1.59133e-15 0
10500.00 1522.15 1.840688 45.5406 1.34419 12.8019 1.72718 0.149025 5.34119 12.2275 19.9966 0.871877 -2.77438e-16 1.67216e-15 0
11500.00 1532.80 1.752122 45.2942 1.34053 13.4086 1.78394 0.115387 5.42445 11.7914 19.8723 0.969208 0 -1.75669e-15 0
12500.00 1543.42 1.668269 45.0756 1.32642 14.003 1.83723 0.0879364 5.49791 11.3601 19.7387 1.07311 -3.06112e-16 0 0
13500.00 1554.01 1.588856 44.8814 1.30307 14.5881 1.88659 0.0660289 5.56135 10.935 19.5949 1.18345 0 1.9372e-15 0
14500.00 1567.29 1.938679 40.7698 -7.14932e-15 23.0617 0 -2.65626e-17 13.4471 12.353 10.3684 -2.21834e-14 0 -1.58764e-15 0
15500.00 1580.50 1.814371 40.719 -7.63914e-15 23.033 -3.81705e-15 0 13.4917 12.0532 10.7032 2.37033e-14 0 0 0
16500.00 1593.27 1.641140 40.6681 0 23.0042 0 0 13.5394 11.7553 11.0331 2.62053e-14 0 0 0
17500.00 1605.63 1.488791 40.6173 0 22.9754 -4.65179e-15 0 13.59 11.4591 11.3582 0 0 -1.0337e-15 0
18500.00 1617.59 1.354127 40.5664 1.02356e-14 22.9467 5.1144e-15 0 13.6437 11.1645 11.6787 0 0 0 0
19500.00 1629.19 1.234537 40.5155 1.12271e-14 22.9179 -5.60983e-15 0 13.7005 10.8714 11.9947 0 0 1.24659e-15 0
20500.00 1640.43 1.127878 40.4646 -1.22888e-14 22.8891 0 0 13.7604 10.5797 12.3062 7.62609e-14 0 1.36448e-15 0
21500.00 1651.33 1.032375 40.4135 -1.34256e-14 22.8602 0 0 13.8235 10.2892 12.6135 0 0 -1.4907e-15 0
22500.00 1661.92 0.946549 40.3624 0 22.8313 7.31662e-15 0 13.8899 9.99988 12.9165 0 0 0 0
23500.00 1672.20 0.869159 40.3111 -1.59467e-14 22.8023 0 0 13.9596 9.71153 13.2155 4.94806e-14 0 0 0
24500.00 1682.20 0.799157 40.2597 1.73436e-14 22.7732 0 0 14.0327 9.42408 13.5104 0 0 1.92574e-15 0
25500.00 1691.92 0.735657 40.2081 0 22.744 -1.88282e-14 0 14.1092 9.13744 13.8013 0 0 0 0
26500.00 1701.39 0.677900 40.1563 -2.04458e-14 22.7147 -1.02162e-14 0 14.1893 8.85153 14.0883 -6.34408e-14 0 0 0
27500.00 1710.60 0.625237 40.1042 -4.43359e-14 22.6852 1.10767e-14 0 14.273 8.56629 14.3713 0 0 2.46141e-15 0
28500.00 1719.58 0.577110 40.052 0 22.6557 0 0 14.3603 8.28166 14.6504 -7.45205e-14 0 0 0
29500.00 1728.34 0.533036 39.9995 -2.60024e-14 22.626 0 0 14.4513 7.99762 14.9256 0 0 0 0
30500.00 1736.90 0.492596 39.9468 2.81371e-14 22.5962 -1.40593e-14 0 14.5461 7.71414 15.1968 8.7306e-14 0 0 0
31500.00 1746.18 0.583901 41.1322 0.320258 22.993 3.19028 0 8.96598 5.28131 15.7683 2.34864 0 2.63566e-15 0
32500.00 1755.80 0.614453 41.6173 0.415765 23.4649 4.41064 0 6.72453 4.20659 15.7727 3.38761 0 0 0
33500.00 1765.36 0.590317 41.7341 0.410376 23.8263 4.61268 0 6.25693 3.83348 15.6241 3.702 0 0 0
34500.00 1774.84 0.568242 40.9112 0.394281 25.9091 4.67137 0 5.68214 3.41756 15.0986 3.91575 0 0 0
35500.00 1784.04 0.549303 36.386 0.343731 34.5721 4.26939 0 4.71343 2.79797 13.2093 3.7081 0 0 0
36500.00 1793.15 0.524569 36.3774 0.333223 35.0156 4.32757 0 4.46439 2.60132 12.9855 3.89498 0 0 0
37500.00 1802.17 0.501364 36.3682 0.322752 35.4677 4.3717 0 4.2208 2.41779 12.7532 4.07784 0 0 0
38500.00 1811.10 0.479558 36.3566 0.312386 35.9296 4.4026 0 3.9824 2.24654 12.5136 4.2563 0 0 0
39500.00 1819.96 0.459034 36.341 0.302177 36.4024 4.42112 0 3.74895 2.08673 12.2676 4.43005 0 0 0
