Title: Temperature in Celsius

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
500.00 1421.32 100.350000 0.8495397545057848 0.861876 260.000000 -1261485.593023 37.007957 -185.559457 2341.411670 147.538073 -9.902 -9.902 2.672767 2.953761 2.671 0.0189277 0.000
1500.00 1427.48 85.253314 0.9795069679854639 0.979906 223.767641 -1060822.683003 31.706099 -169.599111 2150.462757 128.318927 -9.705 -9.705 2.687768 2.742200 2.634 0.00804915 0.000
2500.00 1433.25 83.508216 0.9821050760141377 0.982402 219.548131 -1034063.689709 30.894499 -159.846331 2117.828714 125.692232 -9.517 -9.517 2.702196 2.748596 2.600 0.00588294 0.000
3500.00 1446.70 82.015842 0.9564567145536760 0.962346 215.931756 -1010902.556428 30.060977 -149.206301 2061.999980 122.496324 -9.255 -9.255 2.711619 3.155040 2.560 0.00508841 0.000
4500.00 1457.79 78.446603 0.9666634972607204 0.971302 207.579024 -961596.303285 28.687338 -140.110057 1986.880850 117.241772 -9.030 -9.030 2.721477 3.176573 2.528 0.00462852 0.000
5500.00 1468.44 75.833468 0.9699670793155377 0.974651 201.448909 -925036.053787 27.637807 -132.367439 1927.947033 113.233184 -8.821 -8.821 2.730645 3.250825 2.503 0.00434105 0.000
6500.00 1479.21 73.556967 0.9696852071937470 0.974485 196.116203 -893229.892453 26.722029 -125.294441 1871.998021 109.649474 -8.627 -8.627 2.739114 3.270483 2.483 0.00417571 0.000
7500.00 1489.99 71.329103 0.9700447018783358 0.974788 190.880637 -862328.288454 25.837494 -118.751064 1818.441794 106.159708 -8.443 -8.443 2.747250 3.280006 2.464 0.00408555 0.000
8500.00 1500.74 69.194418 0.9706217609190627 0.975249 185.847484 -832824.668169 24.995102 -112.700342 1768.154230 102.821784 -8.269 -8.269 2.755183 3.285901 2.445 0.00404657 0.000
9500.00 1511.46 67.163608 0.9712017918776931 0.975714 181.043592 -804821.371334 24.196391 -107.092247 1721.161508 99.646170 -8.103 -8.103 2.762933 3.291478 2.427 0.00404554 0.000
10500.00 1522.15 65.231417 0.9717821878603592 0.976179 176.458244 -778235.899951 23.438811 -101.882356 1677.337657 96.624234 -7.946 -7.946 2.770516 3.296755 2.409 0.00407434 0.000
11500.00 1532.80 63.392729 0.9723608325356138 0.976643 172.080890 -752988.583427 22.719943 -97.032234 1636.534058 93.747604 -7.798 -7.798 2.777946 3.301748 2.391 0.0041278 0.000
12500.00 1543.42 61.642607 0.9729364359445386 0.977105 167.901244 -729002.955422 22.037499 -92.508437 1598.588360 91.008237 -7.658 -7.658 2.785235 3.306474 2.374 0.00420255 0.000
13500.00 1554.01 59.976338 0.9735086154358029 0.977565 163.909422 -706206.331351 21.389338 -88.281739 1563.331742 88.398486 -7.527 -7.527 2.792396 3.310951 2.356 0.00429635 0.000
14500.00 1567.29 58.389482 0.9667974672700459 0.974513 160.096060 -684532.723815 20.723713 -83.714267 1517.019763 85.751513 -7.220 -7.220 2.795214 3.670391 2.343 0.00446959 0.000
15500.00 1580.50 56.451803 0.9678598275428481 0.975319 155.475829 -659181.766282 20.022370 -79.573445 1474.977332 82.749580 -6.918 -6.918 2.797873 3.671551 2.331 0.00465808 0.000
16500.00 1593.27 54.638432 0.9699636350365818 0.976931 151.140490 -635489.292841 19.369854 -75.811182 1437.267359 79.958594 -6.629 -6.629 2.800679 3.672800 2.319 0.00485425 0.000
17500.00 1605.63 52.998292 0.9719086905025098 0.978421 147.209651 -614019.663730 18.777679 -72.387961 1403.988545 77.427479 -6.351 -6.351 2.803624 3.674137 2.307 0.00505804 0.000
18500.00 1617.59 51.510501 0.9737116392498811 0.979800 143.635825 -594500.654217 18.238619 -69.261459 1374.630231 75.124553 -6.083 -6.083 2.806704 3.675560 2.295 0.00526949 0.000
19500.00 1629.19 50.157374 0.9753867323062373 0.981081 140.378654 -576701.974183 17.746550 -66.396064 1348.752520 73.022956 -5.826 -5.826 2.809912 3.677067 2.283 0.00548868 0.000
20500.00 1640.43 48.923838 0.9769462453012541 0.982274 137.403609 -560427.508422 17.296241 -63.761599 1325.974642 71.099766 -5.578 -5.578 2.813241 3.678657 2.271 0.00571571 0.000
21500.00 1651.33 47.796959 0.9784008136895934 0.983385 134.680968 -545509.211001 16.883203 -61.332327 1305.965555 69.335301 -5.339 -5.339 2.816687 3.680329 2.258 0.00595076 0.000
22500.00 1661.92 46.765584 0.9797597029902761 0.984423 132.185003 -531802.258177 16.503557 -59.086157 1288.436288 67.712563 -5.109 -5.109 2.820242 3.682083 2.246 0.00619401 0.000
23500.00 1672.20 45.820035 0.9810310280588470 0.985395 129.893323 -519181.168482 16.153935 -57.004027 1273.133672 66.216791 -4.886 -4.886 2.823902 3.683918 2.233 0.00644569 0.000
24500.00 1682.20 44.951876 0.9822219321671367 0.986305 127.786344 -507536.672942 15.831400 -55.069394 1259.835152 64.835104 -4.671 -4.671 2.827659 3.685834 2.221 0.00670604 0.000
25500.00 1691.92 44.153718 0.9833387340020343 0.987158 125.846859 -496773.172205 15.533375 -53.267833 1248.344480 63.556207 -4.463 -4.463 2.831509 3.687829 2.208 0.00697533 0.000
26500.00 1701.39 43.419061 0.9843870491100390 0.987959 124.059680 -486806.656503 15.257593 -51.586710 1238.488115 62.370148 -4.262 -4.262 2.835446 3.689904 2.194 0.00725385 0.000
27500.00 1710.60 42.742162 0.9853718906310815 0.988712 122.411348 -477562.993443 15.002049 -50.014906 1230.112196 61.268127 -4.068 -4.068 2.839464 3.692058 2.181 0.00754191 0.000
28500.00 1719.58 42.117925 0.9862977533056341 0.989420 120.889890 -468976.510198 14.764964 -48.542598 1223.079990 60.242322 -3.879 -3.879 2.843558 3.694292 2.167 0.00783986 0.000
29500.00 1728.34 41.541814 0.9871686838000344 0.990086 119.484612 -460988.812862 14.544751 -47.161076 1217.269718 59.285764 -3.697 -3.697 2.847722 3.696603 2.153 0.00814805 0.000
30500.00 1736.90 41.009778 0.9879883398937273 0.990713 118.185933 -453547.798126 14.339996 -45.862587 1212.572712 58.392212 -3.520 -3.520 2.851952 3.698994 2.139 0.00846687 0.000
31500.00 1746.18 40.518183 0.9855891545535449 0.988301 116.985238 -446606.903610 14.147033 -44.535992 1206.652630 57.525575 -3.427 -3.427 2.856218 3.527960 2.123 0.00884753 0.000
32500.00 1755.80 39.936282 0.9846141664836715 0.987270 115.537202 -438624.634394 13.923696 -43.189393 1198.750339 56.539030 -3.379 -3.379 2.860509 3.466599 2.105 0.0092734 0.000
33500.00 1765.36 39.323829 0.9849883146607631 0.987525 113.999377 -430306.611755 13.691177 -41.886245 1190.621474 55.519265 -3.344 -3.344 2.864825 3.456146 2.086 0.00972529 0.000
34500.00 1774.84 38.735512 0.9853302104292920 0.987788 112.516844 -422295.270341 13.467133 -40.639447 1182.370328 54.533848 -3.320 -3.320 2.869142 3.455272 2.068 0.0102058 0.000
35500.00 1784.04 38.170270 0.9856091460069838 0.988127 111.088144 -414545.799686 13.250277 -39.442919 1171.854484 53.579920 -3.303 -3.303 2.873375 3.491605 2.050 0.0107193 0.000
36500.00 1793.15 37.623967 0.9860575783986089 0.988471 109.706650 -406890.127197 13.042754 -38.309425 1161.932530 52.647581 -3.292 -3.292 2.877620 3.488610 2.033 0.0112598 0.000
37500.00 1802.17 37.102398 0.9864870133464754 0.988802 108.384005 -399550.294877 12.844242 -37.230072 1152.511407 51.750845 -3.288 -3.288 2.881877 3.485883 2.015 0.0118286 0.000
38500.00 1811.10 36.604034 0.9868987667966341 0.989121 107.116708 -392506.256217 12.654195 -36.201453 1143.556141 50.887384 -3.291 -3.291 2.886142 3.483419 1.997 0.0124271 0.000
39500.00 1819.96 36.127476 0.9872940447890243 0.989428 105.901557 -385739.705281 12.472116 -35.220433 1135.034857 50.055068 -3.300 -3.300 2.890413 3.481215 1.978 0.0130567 0.000
